"","Gene_stable_ID","Comparison","logFC","PValue","Gene_name","Gene_description","Ensembl_Family_Description","Condition","Publication"
"11","ENSAMXG00000014507","Rio Choy-Control",0.557943171,0.000448709,"copg2","coatomer protein complex, subunit gamma 2 [Source:ZFIN;Acc:ZDB-GENE-000208-8]","COATOMER SUBUNIT GAMMA GAMMA COAT GAMMA COP","Sleep deprivation","McGaugh_2020"
"12","ENSAMXG00000009846","Rio Choy-Control",0.768206393,0.00048679,"SLC7A1 (1 of many)","high affinity cationic amino acid transporter 1-like [Source:NCBI gene;Acc:103031554]","HIGH AFFINITY CATIONIC AMINO ACID TRANSPORTER 1 CAT 1 CAT1 ECOTROPIC RETROVIRAL LEUKEMIA RECEPTOR ECOTROPIC RETROVIRUS RECEPTOR SOLUTE CARRIER FAMILY 7 MEMBER 1 SYSTEM Y+ BASIC AMINO ACID TRANSPORTER","Sleep deprivation","McGaugh_2020"
"13","ENSAMXG00000010984","Rio Choy-Control",0.829655207,0.000313284,"slc7a7","solute carrier family 7 member 7 [Source:NCBI gene;Acc:103035629]","Y+L AMINO ACID TRANSPORTER 1 SOLUTE CARRIER FAMILY 7 MEMBER 7 Y + L TYPE AMINO ACID TRANSPORTER 1 Y+LAT1 Y+LAT 1","Sleep deprivation","McGaugh_2020"
"14","ENSAMXG00000020669","Rio Choy-Control",0.724018072,0.000316432,"","caspase-3-like [Source:NCBI gene;Acc:103034500]","CASPASE 3","Sleep deprivation","McGaugh_2020"
"15","ENSAMXG00000014339","Rio Choy-Control",1.372919272,0.000265852,"fut11","fucosyltransferase 11 [Source:NCBI gene;Acc:103026617]","ALPHA 1 3 FUCOSYLTRANSFERASE 11 EC_2.4.1.- FUCOSYLTRANSFERASE XI FUC TXI FUCT XI GALACTOSIDE 3 L FUCOSYLTRANSFERASE 11 FUCOSYLTRANSFERASE 11","Sleep deprivation","McGaugh_2020"
"16","ENSAMXG00000017232","Rio Choy-Control",1.184399231,0.000630835,"cdkn1d","cyclin-dependent kinase inhibitor 1-like [Source:NCBI gene;Acc:103041774]","CYCLIN DEPENDENT KINASE INHIBITOR 1 CDK INTERACTING 1 MELANOMA DIFFERENTIATION ASSOCIATED P21","Sleep deprivation","McGaugh_2020"
"17","ENSAMXG00000014621","Rio Choy-Control",0.890233588,0.000440002,"tmem161b","transmembrane protein 161B [Source:ZFIN;Acc:ZDB-GENE-040426-2693]","TRANSMEMBRANE","Sleep deprivation","McGaugh_2020"
"18","ENSAMXG00000017333","Rio Choy-Control",0.960924757,9.83e-06,"creld2","cysteine rich with EGF like domains 2 [Source:NCBI gene;Acc:103043646]","CYSTEINE RICH WITH EGF  DOMAIN 2 PRECURSOR","Sleep deprivation","McGaugh_2020"
"19","ENSAMXG00000012137","Rio Choy-Control",6.510049471,0.000363782,"","","CLASS I HISTOCOMPATIBILITY ANTIGEN ALPHA CHAIN PRECURSOR MHC CLASS I ANTIGEN","Sleep deprivation","McGaugh_2020"
"20","ENSAMXG00000000162","Rio Choy-Control",0.886402881,0.000104102,"ABHD5","abhydrolase domain containing 5 [Source:NCBI gene;Acc:103032876]","1 ACYLGLYCEROL 3 PHOSPHATE O ACYLTRANSFERASE ABHD5 EC_2.3.1.51 ABHYDROLASE DOMAIN CONTAINING 5","Sleep deprivation","McGaugh_2020"
"21","ENSAMXG00000028362","Rio Choy-Control",1.207340542,0.000210159,"","","","Sleep deprivation","McGaugh_2020"
"22","ENSAMXG00000019605","Rio Choy-Control",0.501069246,0.000764203,"f2rl1.2","proteinase-activated receptor 2-like [Source:NCBI gene;Acc:103034580]","RECEPTOR","Sleep deprivation","McGaugh_2020"
"23","ENSAMXG00000015316","Rio Choy-Control",1.183396104,0.000380577,"SLC25A38","solute carrier family 25 member 38-A-like [Source:NCBI gene;Acc:103029710]","MITOCHONDRIAL GLYCINE TRANSPORTER SOLUTE CARRIER FAMILY 25 MEMBER 38","Sleep deprivation","McGaugh_2020"
"24","ENSAMXG00000014419","Rio Choy-Control",0.899061986,0.000355059,"zgc:114041","monocarboxylate transporter 13-like [Source:NCBI gene;Acc:103030368]","MONOCARBOXYLATE TRANSPORTER","Sleep deprivation","McGaugh_2020"
"25","ENSAMXG00000018723","Rio Choy-Control",0.884858619,0.00049592,"cebpb","CCAAT/enhancer-binding protein beta-like [Source:NCBI gene;Acc:103028158]","CCAAT/ENHANCER BINDING BETA C/EBP BETA INTERLEUKIN 6 DEPENDENT BINDING IL 6DBP LIVER ENRICHED TRANSCRIPTIONAL ACTIVATOR LAP","Sleep deprivation","McGaugh_2020"
"26","ENSAMXG00000013103","Rio Choy-Control",1.180825694,0.000165187,"prelid3b","PRELI domain containing 3B [Source:NCBI gene;Acc:103030743]","PRELI DOMAIN CONTAINING","Sleep deprivation","McGaugh_2020"
"27","ENSAMXG00000016344","Rio Choy-Control",1.04824713,7.93e-06,"pnpla2","patatin like phospholipase domain containing 2 [Source:NCBI gene;Acc:103029861]","PATATIN  PHOSPHOLIPASE DOMAIN CONTAINING 2 EC_3.1.1.3 ADIPOSE TRIGLYCERIDE LIPASE","Sleep deprivation","McGaugh_2020"
"28","ENSAMXG00000018728","Rio Choy-Control",2.446049488,1.88e-10,"slc52a3","solute carrier family 52 member 3 [Source:NCBI gene;Acc:103029106]","SOLUTE CARRIER FAMILY 52 RIBOFLAVIN TRANSPORTER MEMBER RIBOFLAVIN TRANSPORTER","Sleep deprivation","McGaugh_2020"
"29","ENSAMXG00000019039","Rio Choy-Control",0.757742699,0.000266607,"plvapb","plasmalemma vesicle associated protein b [Source:ZFIN;Acc:ZDB-GENE-060616-96]","PLASMALEMMA VESICLE ASSOCIATED PLASMALEMMA VESICLE 1 PV 1","Sleep deprivation","McGaugh_2020"
"30","ENSAMXG00000006678","Rio Choy-Control",1.025142665,0.000288287,"chchd4a","coiled-coil-helix-coiled-coil-helix domain containing 4 [Source:NCBI gene;Acc:103027030]","MITOCHONDRIAL INTERMEMBRANE SPACE IMPORT AND ASSEMBLY 40 COILED COIL HELIX COILED COIL HELIX DOMAIN CONTAINING 4","Sleep deprivation","McGaugh_2020"
"31","ENSAMXG00000014431","Rio Choy-Control",0.761121907,0.000133582,"gldc","glycine decarboxylase [Source:NCBI gene;Acc:103032063]","GLYCINE DEHYDROGENASE DECARBOXYLATING MITOCHONDRIAL PRECURSOR EC_1.4.4.2 GLYCINE CLEAVAGE SYSTEM P GLYCINE DECARBOXYLASE GLYCINE DEHYDROGENASE AMINOMETHYL TRANSFERRING","Sleep deprivation","McGaugh_2020"
"32","ENSAMXG00000020268","Rio Choy-Control",0.905038565,0.000563518,"wars","tryptophanyl-tRNA synthetase [Source:NCBI gene;Acc:103043270]","TRYPTOPHAN TRNA LIGASE EC_6.1.1.2 TRYPTOPHANYL TRNA SYNTHETASE TRPRS","Sleep deprivation","McGaugh_2020"
"33","ENSAMXG00000010723","Rio Choy-Control",1.16313691,0.000410243,"","ferritin, middle subunit-like [Source:NCBI gene;Acc:103029400]","FERRITIN HEAVY CHAIN FERRITIN H SUBUNIT FERRITIN HEAVY CHAIN","Sleep deprivation","McGaugh_2020"
"34","ENSAMXG00000018321","Rio Choy-Control",1.394550262,2.38e-05,"zgc:162608","zgc:162608 [Source:ZFIN;Acc:ZDB-GENE-070410-86]","APOLIPOPROTEIN A IV","Sleep deprivation","McGaugh_2020"
"35","ENSAMXG00000007999","Rio Choy-Control",0.662794317,0.00025794,"kcnj10a","ATP-sensitive inward rectifier potassium channel 10 [Source:NCBI gene;Acc:103044992]","INWARD RECTIFIER POTASSIUM CHANNEL INWARD RECTIFIER K + CHANNEL POTASSIUM CHANNEL INWARDLY RECTIFYING SUBFAMILY J MEMBER","Sleep deprivation","McGaugh_2020"
"36","ENSAMXG00000002666","Rio Choy-Control",0.870081887,0.000721257,"","","POLYPEPTIDE N ACETYLGALACTOSAMINYLTRANSFERASE EC_2.4.1.- UDP ACETYLGALACTOSAMINYLTRANSFERASE","Sleep deprivation","McGaugh_2020"
"37","ENSAMXG00000001488","Rio Choy-Control",1.116832181,5.66e-05,"itm2cb","integral membrane protein 2C [Source:NCBI gene;Acc:103035277]","INTEGRAL MEMBRANE 2B IMMATURE BRI2 IMBRI2 TRANSMEMBRANE BRI BRI [CONTAINS BRI2 MEMBRANE FORM MATURE BRI2 MBRI2 ; BRI2 INTRACELLULAR DOMAIN BRI2 ICD ; BRI2C SOLUBLE FORM; BRI23 PEPTIDE BRI2 23 ABRI23 C TERMINAL PEPTIDE P23 PEPTIDE ]","Sleep deprivation","McGaugh_2020"
"38","ENSAMXG00000024701","Rio Choy-Control",1.311311567,0.000758531,"mettl1","methyltransferase like 1 [Source:NCBI gene;Acc:103034901]","TRNA GUANINE N 7 METHYLTRANSFERASE EC_2.1.1.33 TRANSFER RNA METHYLTRANSFERASE 8 TRNA GUANINE 46 N 7 METHYLTRANSFERASE TRNA METHYLTRANSFERASE","Sleep deprivation","McGaugh_2020"
"39","ENSAMXG00000002819","Rio Choy-Control",1.353487936,1.47e-05,"b3gnt2a","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2 [Source:NCBI gene;Acc:103037893]","N ACETYLLACTOSAMINIDE BETA 1 3 N ACETYLGLUCOSAMINYLTRANSFERASE 2 EC_2.4.1.149 BETA 1 3 N ACETYLGLUCOSAMINYLTRANSFERASE 1 BGNT 1 BETA 1 3 GN T1 BETA3GN T1 BETA 1 3 GALACTOSYLTRANSFERASE 7 BETA 1 3 GALTASE 7 BETA3GAL T7 BETA3GALT7 B3GAL T7 BETA 3 GX T7 UDP GAL:BETA GLCNAC BETA 1 3 GALACTOSYLTRANSFERASE 7 UDP GLCNAC:BETAGAL BETA 1 3 N ACETYLGLUCOSAMINYLTRANSFERASE 2 BGNT 2 BETA 1 3 GN T2 BETA 1 3 N ACETYLGLUCOSAMINYLTRANSFERASE 2 BETA3GN T2 UDP GALACTOSE:BETA N ACETYLGLUCOSAMINE BETA 1 3 GALACTOSYLTRANSFERASE 7","Sleep deprivation","McGaugh_2020"
"40","ENSAMXG00000002899","Rio Choy-Control",0.90587571,0.000525218,"pop4","POP4 homolog, ribonuclease P/MRP subunit [Source:NCBI gene;Acc:103040071]","RIBONUCLEASE P SUBUNIT EC_3.1.26.5","Sleep deprivation","McGaugh_2020"
"41","ENSAMXG00000003267","Rio Choy-Control",1.42250085,6.08e-09,"capn9","calpain 9 [Source:ZFIN;Acc:ZDB-GENE-010724-2]","CALPAIN 9 EC_3.4.22.- DIGESTIVE TRACT SPECIFIC CALPAIN NEW CALPAIN 4 NCL 4","Sleep deprivation","McGaugh_2020"
"42","ENSAMXG00000000705","Rio Choy-Control",0.686990417,0.000220073,"tm9sf2","transmembrane 9 superfamily member 2 [Source:NCBI gene;Acc:103038134]","TRANSMEMBRANE 9 SUPERFAMILY MEMBER 2 PRECURSOR","Sleep deprivation","McGaugh_2020"
"43","ENSAMXG00000001723","Rio Choy-Control",0.620535337,0.00015074,"gorasp1a","Golgi reassembly-stacking protein 1-like [Source:NCBI gene;Acc:103042711]","GOLGI REASSEMBLY STACKING GOLGI REASSEMBLY STACKING OF KDA","Sleep deprivation","McGaugh_2020"
"44","ENSAMXG00000002207","Rio Choy-Control",1.094086675,0.000148581,"hspd1","heat shock protein family D (Hsp60) member 1 [Source:NCBI gene;Acc:103043207]","60 KDA HEAT SHOCK MITOCHONDRIAL PRECURSOR 60 KDA CHAPERONIN CPN60 HEAT SHOCK 60 HSP 60 HSP60","Sleep deprivation","McGaugh_2020"
"45","ENSAMXG00000017763","Rio Choy-Control",1.227227406,0.00023618,"","tetraspanin-8-like [Source:NCBI gene;Acc:103040999]","TETRASPANIN","Sleep deprivation","McGaugh_2020"
"46","ENSAMXG00000006061","Rio Choy-Control",0.708432018,9.15e-05,"sumf2","sulfatase modifying factor 2 [Source:NCBI gene;Acc:103024782]","SULFATASE MODIFYING FACTOR 1 PRECURSOR EC_1.8.99.- C ALPHA FORMYLGLYCINE GENERATING ENZYME 1","Sleep deprivation","McGaugh_2020"
"47","ENSAMXG00000013117","Rio Choy-Control",1.065124212,0.000382559,"sec23b","Sec23 homolog B, coat complex II component [Source:NCBI gene;Acc:103033387]","TRANSPORT SEC23","Sleep deprivation","McGaugh_2020"
"48","ENSAMXG00000016267","Rio Choy-Control",0.752608961,0.000137765,"calua","calumenin [Source:NCBI gene;Acc:103043492]","PRECURSOR","Sleep deprivation","McGaugh_2020"
"49","ENSAMXG00000019901","Rio Choy-Control",1.434825807,0.000128747,"adgrg4a","adhesion G protein-coupled receptor G4a [Source:ZFIN;Acc:ZDB-GENE-121129-2]","ADHESION G COUPLED RECEPTOR G6 PRECURSOR DEVELOPMENTALLY REGULATED G COUPLED RECEPTOR G COUPLED RECEPTOR 126 [CONTAINS ADGRG6 N TERMINAL FRAGMENT ADGRG6 NTF ; ADGRG6 C TERMINAL FRAGMENT ADGRG6 CTF ]","Sleep deprivation","McGaugh_2020"
"50","ENSAMXG00000002059","Rio Choy-Control",0.449812519,0.000607601,"etfdh","electron transfer flavoprotein dehydrogenase [Source:NCBI gene;Acc:103046579]","ELECTRON TRANSFER FLAVOPROTEIN UBIQUINONE OXIDOREDUCTASE MITOCHONDRIAL PRECURSOR ETF QO ETF UBIQUINONE OXIDOREDUCTASE EC_1.5.5.1 ELECTRON TRANSFERRING FLAVOPROTEIN DEHYDROGENASE ETF DEHYDROGENASE","Sleep deprivation","McGaugh_2020"
"51","ENSAMXG00000024810","Rio Choy-Control",1.513022673,1.16e-05,"","ERBB receptor feedback inhibitor 1-like [Source:NCBI gene;Acc:103026699]","ERBB RECEPTOR FEEDBACK INHIBITOR 1 MITOGEN INDUCIBLE GENE 6 MIG 6","Sleep deprivation","McGaugh_2020"
"52","ENSAMXG00000010320","Rio Choy-Control",0.786574448,0.000524219,"zgc:195081","2-oxoglutarate and iron dependent oxygenase domain containing 3 [Source:NCBI gene;Acc:103047750]","2 OXOGLUTARATE AND IRON DEPENDENT OXYGENASE DOMAIN CONTAINING 3","Sleep deprivation","McGaugh_2020"
"53","ENSAMXG00000012870","Rio Choy-Control",2.855903439,6.45e-05,"","hepcidin antimicrobial peptide [Source:NCBI gene;Acc:103030313]","HEPCIDIN PRECURSOR","Sleep deprivation","McGaugh_2020"
"54","ENSAMXG00000017929","Rio Choy-Control",0.667601639,5e-05,"rabac1","Rab acceptor 1 [Source:NCBI gene;Acc:103034374]","PRENYLATED RAB ACCEPTOR 1 PRA1 FAMILY 1","Sleep deprivation","McGaugh_2020"
"55","ENSAMXG00000000309","Rio Choy-Control",2.232171997,0.000101247,"si:dkey-242g16.2","protein phosphatase 1 regulatory subunit 3C-like [Source:NCBI gene;Acc:103024204]","PHOSPHATASE 1 REGULATORY SUBUNIT 3C PHOSPHATASE 1 REGULATORY SUBUNIT 5 PP1 SUBUNIT R5 TARGETING TO GLYCOGEN PTG","Sleep deprivation","McGaugh_2020"
"56","ENSAMXG00000012011","Rio Choy-Control",1.246351039,2.6e-09,"aoc1","amine oxidase, copper containing 1 [Source:NCBI gene;Acc:103033242]","PRIMARY AMINE OXIDASE EC_1.4.3.21 AMINE OXIDASE OXIDASE","Sleep deprivation","McGaugh_2020"
"57","ENSAMXG00000008366","Rio Choy-Control",0.913589483,2.96e-05,"lman1","lectin, mannose-binding, 1 [Source:ZFIN;Acc:ZDB-GENE-060201-4]","ERGIC 53","Sleep deprivation","McGaugh_2020"
"58","ENSAMXG00000002963","Rio Choy-Control",0.826309759,5.76e-05,"","","DISULFIDE ISOMERASE A6 PRECURSOR EC_5.3.4.1","Sleep deprivation","McGaugh_2020"
"59","ENSAMXG00000006741","Rio Choy-Control",1.087162649,0.000494689,"dhrs13a.2","dehydrogenase/reductase SDR family member 13-like [Source:NCBI gene;Acc:103022849]","DEHYDROGENASE/REDUCTASE SDR FAMILY MEMBER 13 PRECURSOR EC_1.1.-.- SHORT CHAIN DEHYDROGENASE/REDUCTASE FAMILY 7C MEMBER 5","Sleep deprivation","McGaugh_2020"
"60","ENSAMXG00000010834","Rio Choy-Control",1.504641035,5.79e-05,"unc45b","unc-45 myosin chaperone B [Source:ZFIN;Acc:ZDB-GENE-020919-3]","UNC 45 HOMOLOG B UNC 45B","Sleep deprivation","McGaugh_2020"
"61","ENSAMXG00000018560","Rio Choy-Control",0.708600991,0.000110943,"acsl1b","acyl-CoA synthetase long chain family member 1b [Source:ZFIN;Acc:ZDB-GENE-040801-88]","LONG CHAIN FATTY ACID COA LIGASE 1 EC_6.2.1.3 LONG CHAIN ACYL COA SYNTHETASE 1 LACS 1 LONG CHAIN FATTY ACID COA LIGASE","Sleep deprivation","McGaugh_2020"
"62","ENSAMXG00000020357","Rio Choy-Control",0.779748234,0.000318001,"slc37a4a","glucose-6-phosphate exchanger SLC37A4-like [Source:NCBI gene;Acc:103025138]","GLUCOSE 6 PHOSPHATE EXCHANGER SL GLUCOSE 5 PHOSPHATE TRANSPORTER GLUCOSE 6 PHOSPHATE TRANSLOCASE SOLUTE CARRIER FAMILY 37 MEMBER 4 TRANSFORMATION RELATED GENE 19 TRG 19","Sleep deprivation","McGaugh_2020"
"63","ENSAMXG00000010395","Rio Choy-Control",0.855110358,0.000104585,"psmd11b","26S proteasome non-ATPase regulatory subunit 11B [Source:NCBI gene;Acc:103047433]","COP9 SIGNALOSOME COMPLEX SUBUNIT 2 SIGNALOSOME SUBUNIT 2","Sleep deprivation","McGaugh_2020"
"64","ENSAMXG00000000710","Rio Choy-Control",6.978079574,0.000556347,"phb","prohibitin [Source:NCBI gene;Acc:103031128]","PROHIBITIN","Sleep deprivation","McGaugh_2020"
"65","ENSAMXG00000018450","Rio Choy-Control",0.947366872,0.000702615,"fam136a","family with sequence similarity 136 member A [Source:NCBI gene;Acc:103037603]","UNKNOWN","Sleep deprivation","McGaugh_2020"
"66","ENSAMXG00000001853","Rio Choy-Control",0.757309149,0.000358258,"gtpbp10","GTP binding protein 10 [Source:NCBI gene;Acc:103043637]","GTP BINDING 10","Sleep deprivation","McGaugh_2020"
"67","ENSAMXG00000013595","Rio Choy-Control",0.833052723,6.6e-05,"rtcb","RNA 2',3'-cyclic phosphate and 5'-OH ligase [Source:NCBI gene;Acc:103036305]","TRNA SPLICING LIGASE RTCB HOMOLOG EC_6.5.1.3","Sleep deprivation","McGaugh_2020"
"68","ENSAMXG00000012103","Rio Choy-Control",0.781453692,0.000432039,"dpm1","dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:NCBI gene;Acc:103041865]","DOLICHOL PHOSPHATE MANNOSYLTRANSFERASE EC_2.4.1.83 DOLICHOL PHOSPHATE MANNOSE SYNTHASE DPM SYNTHASE DOLICHYL PHOSPHATE BETA D MANNOSYLTRANSFERASE MANNOSE P DOLICHOL SYNTHASE MPD SYNTHASE","Sleep deprivation","McGaugh_2020"
"69","ENSAMXG00000025759","Rio Choy-Control",1.055539237,0.000150728,"","forkhead box protein G1-like [Source:NCBI gene;Acc:103032773]","FACTOR","Sleep deprivation","McGaugh_2020"
"70","ENSAMXG00000007826","Rio Choy-Control",0.9341153,0.000254523,"slc1a4","solute carrier family 1 (glutamate/neutral amino acid transporter), member 4 [Source:ZFIN;Acc:ZDB-GENE-030616-566]","NEUTRAL AMINO ACID TRANSPORTER A ALANINE/SERINE/CYSTEINE/THREONINE TRANSPORTER 1 ASCT 1 SATT SOLUTE CARRIER FAMILY 1 MEMBER 4","Sleep deprivation","McGaugh_2020"
"71","ENSAMXG00000028193","Rio Choy-Control",2.758964187,9.31e-07,"","","","Sleep deprivation","McGaugh_2020"
"72","ENSAMXG00000007581","Rio Choy-Control",1.371304602,5.4e-06,"rtn4rl2b","reticulon-4 receptor-like 2 [Source:NCBI gene;Acc:103033432]","RETICULON 4 RECEPTOR  2 PRECURSOR NOGO RECEPTOR  3 NOGO 66 RECEPTOR HOMOLOG 1 NOGO 66 RECEPTOR RELATED 2 NGR2","Sleep deprivation","McGaugh_2020"
"73","ENSAMXG00000002603","Rio Choy-Control",0.786309381,0.00041223,"scfd2","sec1 family domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-050320-143]","SEC1 FAMILY DOMAIN CONTAINING 2 SYNTAXIN BINDING 1  1","Sleep deprivation","McGaugh_2020"
"74","ENSAMXG00000003930","Rio Choy-Control",1.350740764,0.000139382,"anxa5b","annexin A5b [Source:ZFIN;Acc:ZDB-GENE-030131-9076]","ANNEXIN A5 ANCHORIN CII ANNEXIN V ANNEXIN 5 CALPHOBINDIN I CBP I ENDONEXIN II LIPOCORTIN V PLACENTAL ANTICOAGULANT 4 PLACENTAL ANTICOAGULANT I PAP I THROMBOPLASTIN INHIBITOR VASCULAR ANTICOAGULANT ALPHA VAC ALPHA","Sleep deprivation","McGaugh_2020"
"75","ENSAMXG00000016507","Rio Choy-Control",0.677369497,0.00021809,"sars","seryl-tRNA synthetase [Source:NCBI gene;Acc:103045372]","SERINE TRNA LIGASE EC_6.1.1.11 SERYL TRNA SYNTHETASE SERRS SERYL TRNA SER/SEC SYNTHETASE","Sleep deprivation","McGaugh_2020"
"76","ENSAMXG00000001028","Rio Choy-Control",0.822589967,1.21e-05,"pim3","serine/threonine-protein kinase pim-3-like [Source:NCBI gene;Acc:103024220]","SERINE/THREONINE KINASE PIM EC_2.7.11.1","Sleep deprivation","McGaugh_2020"
"77","ENSAMXG00000025872","Rio Choy-Control",1.464413201,8.83e-05,"ch25h","cholesterol 25-hydroxylase [Source:NCBI gene;Acc:103047082]","CHOLESTEROL 25 HYDROXYLASE EC_1.14.99.38 CHOLESTEROL 25 MONOOXYGENASE","Sleep deprivation","McGaugh_2020"
"78","ENSAMXG00000007221","Rio Choy-Control",0.549370716,0.000381745,"nudt4b","diphosphoinositol polyphosphate phosphohydrolase 3-beta-like [Source:NCBI gene;Acc:103028168]","DIPHOSPHOINOSITOL POLYPHOSPHATE PHOSPHOHYDROLASE 2 DIPP 2 EC_3.6.1.52 DIADENOSINE 5' 5''' P1 P6 HEXAPHOSPHATE HYDROLASE 2 EC_3.6.1.- NUCLEOSIDE DIPHOSPHATE LINKED MOIETY X MOTIF 4 NUDIX MOTIF 4","Sleep deprivation","McGaugh_2020"
"79","ENSAMXG00000001755","Rio Choy-Control",5.340913437,0.000426209,"rpp40","ribonuclease P/MRP 40 subunit [Source:ZFIN;Acc:ZDB-GENE-040625-161]","RIBONUCLEASE P SUBUNIT P40 RNASEP P40 EC_3.1.26.5","Sleep deprivation","McGaugh_2020"
"80","ENSAMXG00000000392","Rio Choy-Control",1.380094242,7.93e-07,"anxa2a","annexin A2 [Source:NCBI gene;Acc:103044821]","ANNEXIN A2 ANNEXIN II ANNEXIN 2 CALPACTIN I HEAVY CHAIN CALPACTIN 1 HEAVY CHAIN CHROMOBINDIN 8 LIPOCORTIN II PLACENTAL ANTICOAGULANT IV PAP IV I P36","Sleep deprivation","McGaugh_2020"
"81","ENSAMXG00000025292","Rio Choy-Control",1.658140218,4.74e-06,"","","TYPE IODOTHYRONINE DEIODINASE EC_1.21.99.4 TYPE DI TYPE 5' DEIODINASE","Sleep deprivation","McGaugh_2020"
"82","ENSAMXG00000007134","Rio Choy-Control",0.798705324,0.000637116,"fam114a2","family with sequence similarity 114 member A2 [Source:NCBI gene;Acc:103038550]","NOXP20 NERVOUS SYSTEM OVEREXPRESSED 20 FA","Sleep deprivation","McGaugh_2020"
"83","ENSAMXG00000004408","Rio Choy-Control",1.001640078,0.00075542,"zpr1","ZPR1 zinc finger [Source:NCBI gene;Acc:103043675]","ZINC FINGER ZPR1 ZINC FINGER 259","Sleep deprivation","McGaugh_2020"
"84","ENSAMXG00000004080","Rio Choy-Control",0.782082374,1.2e-05,"gmppb","GDP-mannose pyrophosphorylase B [Source:ZFIN;Acc:ZDB-GENE-040801-234]","MANNOSE 1 PHOSPHATE GUANYLTRANSFERASE BETA EC_2.7.7.13 GDP MANNOSE PYROPHOSPHORYLASE B GTP MANNOSE 1 PHOSPHATE GUANYLYLTRANSFERASE BETA","Sleep deprivation","McGaugh_2020"
"85","ENSAMXG00000019001","Rio Choy-Control",0.790955071,0.00018586,"fars2","phenylalanyl-tRNA synthetase 2, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-070928-38]","PHENYLALANINE TRNA LIGASE MITOCHONDRIAL PRECURSOR EC_6.1.1.20 PHENYLALANYL TRNA SYNTHETASE","Sleep deprivation","McGaugh_2020"
"86","ENSAMXG00000020613","Rio Choy-Control",1.1123129,6.89e-05,"mtrr","5-methyltetrahydrofolate-homocysteine methyltransferase reductase [Source:NCBI gene;Acc:103046907]","METHIONINE SYNTHASE REDUCTASE MSR EC_1.16.1.8","Sleep deprivation","McGaugh_2020"
"87","ENSAMXG00000004896","Rio Choy-Control",4.60771632,0.000238663,"si:ch211-226m7.4","chromosome 22 C1orf158 homolog [Source:NCBI gene;Acc:103033413]","UNCHARACTERIZED","Sleep deprivation","McGaugh_2020"
