Stable_Gene_ID,Gene_Name,Gene_Description,GO_Terms,Pi_Tinaja,Pi_RioChoy,Pi_Molino,Pi_Pachon,Pi_Rascon,Dxy_RioChoy:Molino,Dxy_Rascon:Pachon,Dxy_Rascon:Tinaja,Fst_Rascon:Tinaja,Fst_Pachon:Rascon,Fst_RioChoy:Molino,Fst_RioChoy:Pachon,Fst_RioChoy:Tinaja,Dxy_RioChoy:Pachon,Dxy_RioChoy:Tinaja,TajimasD_Molino,TajimasD_RioChoy,TajimasD_Pachon,TajimasD_Tinaja,TajimasD_Rascon,Fst_Rascon:Molino,Dxy_Rascon:Molino
ENSAMXG00000019415,cobl,cordon-bleu WH2 repeat protein [Source:ZFIN;Acc:ZDB-GENE-091020-11],actin binding,0.000405431,0.002347191,0.000101369,0.000064,0.000840939,0.001849201,0.002972169,0.001649752,0.355398482,0.498584138,0.198079083,0.259384044,0.200515043,0.002900307,0.002407503,0,-0.539401,0,-1.60653,-1.05935,0.35285761,0.001836658
ENSAMXG00000006180,chd7,chromodomain helicase DNA binding protein 7 [Source:ZFIN;Acc:ZDB-GENE-070912-179],"protein binding;hydrolase activity, acting on acid anhydrides;hydrolase activity;nucleic acid binding;ATP binding;nucleus;DNA binding;chordate embryonic development;somitogenesis;cartilage development;heart looping;determination of left/right symmetry;inner ear morphogenesis;retina development in camera-type eye;otolith development;bone mineralization;neural crest formation;cranial nerve morphogenesis;embryonic cranial skeleton morphogenesis;rRNA transcription",0.000489477,0.001384185,0.0000926,0,0.001227885,0.002132639,0.001701777,0.001824186,0.293670271,0.326801523,0.48213332,0.390850901,0.327013056,0.002612831,0.002486027,-1.28715,-0.464986,NA,-0.557468,-0.946722,0.398592661,0.002775091
ENSAMXG00000021217,angpt1,angiopoietin 1 [Source:ZFIN;Acc:ZDB-GENE-010817-1],Tie signaling pathway;receptor tyrosine kinase binding;angiogenesis;blood vessel development,0.00060058,0.001366506,0,0,0.001240416,0.000805968,0.002537212,0.00331717,0.374237233,0.407102267,0.108721888,0.319406213,0.341644651,0.002830259,0.003520018,NA,NA,NA,NA,NA,0.36806688,0.002649977
ENSAMXG00000001883,GALR1 (1 of 2),galanin receptor 1 [Source:HGNC Symbol;Acc:HGNC:4132],positive regulation of cytosolic calcium ion concentration;negative regulation of adenylate cyclase activity;cytosol;galanin receptor activity;neuropeptide signaling pathway;G-protein coupled receptor signaling pathway;signal transduction;G-protein coupled receptor activity;signal transducer activity;integral component of membrane;membrane,0.000475619,0.002399543,0.000318035,0.000110339,0.001289168,0.001681133,0.001140029,0.001334668,0.20004176,0.20395596,0.117694371,0.136939263,0.137690463,0.001570795,0.001784729,NA,NA,NA,NA,NA,0.18420772,0.001251251
ENSAMXG00000017521,cblb,"Cbl proto-oncogene B, E3 ubiquitin protein ligase [Source:ZFIN;Acc:ZDB-GENE-030616-417]",protein binding;regulation of signaling;phosphotyrosine binding;ubiquitin-protein transferase activity;protein ubiquitination;cell surface receptor signaling pathway;calcium ion binding;metal ion binding;nucleus;signal transducer activity;zinc ion binding;dorsal/ventral pattern formation;post-anal tail morphogenesis;pattern specification process;regulation of mesodermal cell fate specification,0.000296454,0.001931212,0.000188403,0.00021398,0.000637188,0.001861929,0.001867014,0.001455568,0.379189044,0.378052158,0.275995013,0.368386859,0.339120079,0.002620067,0.002349449,0,1.03828,-2.05624,-2.12773,-1.0924,0.34358765,0.001395608
ENSAMXG00000003842,CSMD1,CUB and Sushi multiple domains 1 [Source:HGNC Symbol;Acc:HGNC:14026],integral component of membrane;membrane,0.000618962,0.001823861,0.0000714,0.0000725,0.001203205,0.002959582,0.002065579,0.00196688,0.261686383,0.304450257,0.427424504,0.238775843,0.225203291,0.002415975,0.002688385,-0.549834,-0.910988,0.605371,NA,-1.39541,0.379561964,0.003051555
ENSAMXG00000007719,ctnnd2a,"catenin (cadherin-associated protein), delta 2a [Source:ZFIN;Acc:ZDB-GENE-030616-60]",binding;protein binding;single organismal cell-cell adhesion,0.000453441,0.001941012,0,0.000513802,0.001597813,0.001929398,0.00214895,0.00163339,0.207663761,0.254741576,0.286410347,0.147955268,0.113054091,0.001762293,0.001564935,NA,NA,NA,NA,NA,0.337595476,0.002604167
ENSAMXG00000016123,ggnbp2,gametogenetin binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-060929-52],NA,0.0000951,0.000749008,0,0,0.000837704,0.000924605,0.00244391,0.00239984,0.548389244,0.564097689,0.468765433,0.191772216,0.174521268,0.001030274,0.001077825,NA,NA,NA,NA,NA,0.43703966,0.002203526
ENSAMXG00000012022,NA,NA,ion transmembrane transport;ion channel activity;potassium ion transmembrane transport;potassium ion transport;voltage-gated potassium channel activity;transmembrane transport;ion transport;transport;integral component of membrane;membrane,0.000862769,0.001945657,0.000340704,0.000640421,0.002000128,0.002904125,0.001684534,0.002564861,0.22448674,0.16172555,0.475102786,0.254391485,0.306888343,0.002015212,0.003042616,NA,NA,NA,NA,NA,0.270557133,0.002903439
ENSAMXG00000014142,LTBP2,latent transforming growth factor beta binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6715],protein binding;calcium ion binding,0.000698785,0.002585363,0,0.000423942,0.001240744,0.002871391,0.002468166,0.001502022,0.194595028,0.338210813,0.321244074,0.252976293,0.191461246,0.00313636,0.00279773,NA,NA,NA,NA,NA,0.362352381,0.002599653
ENSAMXG00000015791,fgf18a,fibroblast growth factor 18a [Source:ZFIN;Acc:ZDB-GENE-030714-1],fibroblast growth factor receptor signaling pathway;growth factor activity;extracellular region;fibroblast growth factor receptor binding;receptor binding,0,0.00170041,0,0,0.000271003,0.001806685,0.000135501,0.000135501,0.0465116,0.0465116,0.4939285,0.529501,0.529501,0.001806685,0.001806685,NA,1.94857,NA,NA,0,0.0367261,0.000135501
ENSAMXG00000020163,polr3b,polymerase (RNA) III (DNA directed) polypeptide B [Source:ZFIN;Acc:ZDB-GENE-030131-2887],"ribonucleoside binding;DNA-directed RNA polymerase activity;nucleotidyltransferase activity;transcription, DNA-templated;transferase activity;DNA binding;exocrine pancreas development;digestive tract development;tRNA transcription",0,0.000425094,0.000141245,0,0.000588103,0.000859906,0.00037037,0.00037037,0.1934152,0.1934152,0.5048884,0.294073997,0.29355483,0.000580319,0.000580319,NA,NA,NA,NA,NA,0.420577578,0.001209877
ENSAMXG00000008880,maats1,"MYCBP-associated, testis expressed 1 [Source:ZFIN;Acc:ZDB-GENE-070912-489]",NA,0,0.001936079,0,0.000492086,0.001212389,0.00264638,0.002078421,0.000773652,0.181238333,0.353511958,0.339318377,0.287162972,0.163988348,0.002576417,0.001492042,NA,-0.429177,-1.6434,NA,-0.323919,0.460827815,0.002763042
ENSAMXG00000000377,bnip2,BCL2/adenovirus E1B interacting protein 2 [Source:ZFIN;Acc:ZDB-GENE-040109-6],camera-type eye development;somitogenesis;chromatin binding;heart development;closure of optic fissure;regulation of vascular permeability;blood vessel development;vasculature development;adrenal gland development;negative regulation of retinoic acid receptor signaling pathway;regulation of Notch signaling pathway involved in somitogenesis;regulation of fibroblast growth factor receptor signaling pathway;pronephric glomerulus development;glomerular visceral epithelial cell fate commitment,0.000143164,0.001253854,0,0,0.000867661,0.002465601,0.002028156,0.001980434,0.52141094,0.55577654,0.529323167,0.425242553,0.47069663,0.002942814,0.002942814,NA,NA,NA,NA,NA,0.549597578,0.003698401
ENSAMXG00000000557,scaper,S-phase cyclin A-associated protein in the ER [Source:ZFIN;Acc:ZDB-GENE-060303-5],nucleic acid binding;zinc ion binding,0.000457869,0.001685121,0.000102306,0,0.000469551,0.001908172,0.000935699,0.00113573,0.353659133,0.528404575,0.316709068,0.286077626,0.255965132,0.002111235,0.002242684,NA,NA,NA,NA,NA,0.506715177,0.001529868
ENSAMXG00000000919,slc13a1,"solute carrier family 13 (sodium/sulphate symporters), member 1 [Source:ZFIN;Acc:ZDB-GENE-031222-3]",sodium ion transport;transporter activity;transmembrane transport;integral component of membrane;membrane;sodium:sulfate symporter activity;sulfate transport,0,0.001863401,0,0,0.000180767,0.001788835,0.0000904,0.0000904,0.0465116,0.0465116,0.390586043,0.20004465,0.20004465,0.001547813,0.001547813,NA,NA,NA,NA,NA,0.3578174,0.000632683
ENSAMXG00000001751,frmpd4,FERM and PDZ domain containing 4 [Source:ZFIN;Acc:ZDB-GENE-121004-1],protein binding;cytoskeleton,0.000482568,0.002516013,0.000108873,0.001034283,0.001073927,0.002941628,0.001660689,0.001116453,0.172315506,0.162517761,0.313347298,0.188279673,0.149827654,0.002587475,0.00214501,NA,NA,NA,NA,NA,0.324219835,0.00224359
ENSAMXG00000002194,NA,NA,intracellular signal transduction;intracellular,0,0.000514403,0,0,0,0.000257202,0,0,NA,NA,NA,NA,0.00619094,0.000257202,0.000257202,NA,NA,NA,NA,NA,NA,0
ENSAMXG00000002339,eif4g1a (1 of 2),"eukaryotic translation initiation factor 4 gamma, 1a [Source:ZFIN;Acc:ZDB-GENE-070112-702]",binding;protein binding;RNA binding,0.000475996,0.003304321,0,0,0.001781381,0.00308642,0.000968992,0.002390181,0.203138988,0.1036784,0.868991,0.187018914,0.258713067,0.002264606,0.003704396,NA,NA,NA,NA,NA,1,0.003472222
ENSAMXG00000002349,tbc1d4,"TBC1 domain family, member 4 [Source:ZFIN;Acc:ZDB-GENE-030131-9881]",protein binding;integral component of membrane;membrane,0.003467575,0.005211264,0.003004559,0.003198682,0.003766477,0.004644172,0.004685081,0.004048833,0.138504663,0.26655619,0.113311118,0.211558316,0.156512813,0.005562769,0.005229194,NA,NA,NA,NA,NA,0.135913035,0.004113334
ENSAMXG00000002960,lrp1ba,low density lipoprotein receptor-related protein 1Ba [Source:ZFIN;Acc:ZDB-GENE-050208-608],protein binding;calcium ion binding;integral component of membrane;membrane,0.000595359,0.001360592,0.00000942,0.000237106,0.001157953,0.001562461,0.001811355,0.00166764,0.232737245,0.311451914,0.339065376,0.26155743,0.199776498,0.001930961,0.001829158,NA,NA,NA,NA,NA,0.320006033,0.001842998
ENSAMXG00000016417,tbc1d2,"TBC1 domain family, member 2 [Source:ZFIN;Acc:ZDB-GENE-140106-100]",NA,0.000681365,0.001883921,0,0,0.001039537,0.001821033,0.002950941,0.00298168,0.413882733,0.571487307,0.225649396,0.155320933,0.09810233,0.001657574,0.00181286,NA,-1.0548,NA,-1.19852,-1.4628,0.593367753,0.003319808
ENSAMXG00000016542,NA,NA,protein tyrosine kinase activity;protein phosphorylation;protein kinase activity;ATP binding,0.000434075,0.001384714,0.000624631,0,0.000969488,0.00146693,0.000864678,0.001080847,0.17651691,0.196090233,0.229540388,0.203482172,0.17799133,0.001233687,0.001366644,0.735305,-0.304449,NA,0.520893,-1.00491,0.206421891,0.001391377
ENSAMXG00000016719,th,tyrosine hydroxylase [Source:ZFIN;Acc:ZDB-GENE-990621-5],"catecholamine biosynthetic process;tyrosine 3-monooxygenase activity;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen;aromatic amino acid family metabolic process;monooxygenase activity;metal ion binding;iron ion binding;oxidation-reduction process;spinal cord motor neuron differentiation;dopamine biosynthetic process",0.00047072,0.001643192,0,0,0.000844759,0.001917058,0.000476531,0.00072671,0.093949171,0.1497769,0.547061,0.128298858,0.136763966,0.001212833,0.001341941,NA,-0.710992,NA,-1.17868,-0.379008,0.30832722,0.001191327
ENSAMXG00000016920,osbpl5,oxysterol binding protein-like 5 [Source:ZFIN;Acc:ZDB-GENE-030131-5872],lipid transport;transport;integral component of membrane;membrane,0.000425471,0.000769682,0,0.0000777,0.000323877,0.002008032,0.000550589,0.000385413,0.04970006,0.192808083,0.516865111,0.142450364,0.023915266,0.000826964,0.00060025,NA,-1.14815,-1.51284,-1.12398,-1.83094,0.464847833,0.001716544
ENSAMXG00000017620,trim44,tripartite motif containing 44 [Source:ZFIN;Acc:ZDB-GENE-050522-37],intracellular;zinc ion binding,0.000225546,0.002517237,0,0,0.001926315,0.004800273,0.001513533,0.003243708,0.4811491,0.27942924,0.565956286,0.362858524,0.138446976,0.004681565,0.002303109,NA,-1.20933,NA,-1.46933,0.328029,0.474335314,0.003650285
ENSAMXG00000018450,fam136a,"family with sequence similarity 136, member A [Source:ZFIN;Acc:ZDB-GENE-040426-2729]",NA,0.000248139,0.002568184,0,0,0.001165501,0.001457324,0.005583127,0.005459057,0.5358709,0.5523519,0.130181,0.108147985,0.108147985,0.001457324,0.001581394,NA,NA,NA,NA,NA,0.546437525,0.005583127
ENSAMXG00000018463,gmcl1 (1 of 2),"germ cell-less, spermatogenesis associated 1 [Source:ZFIN;Acc:ZDB-GENE-030131-865]",protein binding,0.0000956,0.001182219,0,0,0.001709255,0.000663905,0.00111536,0.001139261,0.121705214,0.147859714,0.105049633,0.066246337,0.066246337,0.000663905,0.000711706,NA,NA,NA,NA,NA,0.131044486,0.00111536
ENSAMXG00000018468,gmcl1 (2 of 2),"germ cell-less, spermatogenesis associated 1 [Source:ZFIN;Acc:ZDB-GENE-030131-865]",NA,0,0.0018904,0,0,0.000767165,0.002336449,0.000421941,0.000421941,0.162896,0.149024,0.472267,0.489563,0.489563,0.002336449,0.002336449,NA,NA,NA,NA,NA,0.716341333,0.005485232
ENSAMXG00000018503,lox,lysyl oxidase [Source:ZFIN;Acc:ZDB-GENE-040426-2398],"oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor;copper ion binding;oxidation-reduction process",0,0.002379174,0,0,0.000140885,0.004091528,0.003451677,0.000915751,0.5232558,0.80930232,0.5574159,0.508859005,0.599568622,0.003621912,0.005782145,NA,NA,NA,NA,NA,0.75650185,0.002606368
ENSAMXG00000018751,skiv2l2,superkiller viralicidic activity 2-like 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2854],RNA catabolic process;RNA helicase activity;RNA binding;helicase activity;hydrolase activity;nucleic acid binding;ATP binding;fin regeneration;positive regulation of cell division,0.000164206,0.001697179,0.0000361,0,0.000834029,0.002058282,0.000491481,0.000688073,0.1692096,0.13549766,0.409022662,0.130842006,0.144265862,0.001137472,0.001332467,NA,NA,NA,NA,NA,0.373930614,0.0018203
ENSAMXG00000019817,rassf2a,Ras association (RalGDS/AF-6) domain family member 2a [Source:ZFIN;Acc:ZDB-GENE-040912-124],signal transduction,0.000422833,0.002548226,0,0.000895739,0.000176181,0.002664729,0.001409443,0.001250881,0.4902938,0.238184325,0.250839066,0.439089686,0.34781702,0.003944239,0.003880374,NA,NA,NA,NA,NA,0.80520148,0.00431642
ENSAMXG00000002509,hhat,hedgehog acyltransferase [Source:ZFIN;Acc:ZDB-GENE-051118-1],integral component of membrane;membrane;mesoderm formation;dorsal/ventral pattern formation;fin regeneration;endoderm formation;endodermal cell fate determination,0.000883246,0.001956475,0.0000738,0.000679201,0.002106082,0.001234041,0.002652197,0.003763683,0.283800182,0.203903038,0.088191307,0.242293707,0.268481139,0.003155368,0.003517807,NA,NA,NA,NA,NA,0.169659543,0.002061778
ENSAMXG00000002523,kcnh1a,"potassium voltage-gated channel, subfamily H (eag-related), member 1a [Source:ZFIN;Acc:ZDB-GENE-061226-1]","phosphorelay signal transduction system;phosphorelay sensor kinase activity;signal transduction by protein phosphorylation;ion channel activity;potassium ion transport;voltage-gated potassium channel activity;transmembrane transport;ion transport;transport;regulation of transcription, DNA-templated;integral component of membrane;membrane;chordate embryonic development;somitogenesis;nucleus;intrinsic component of plasma membrane;embryonic heart tube development;potassium ion transmembrane transport;generation of neurons;regulation of ion transmembrane transport;embryonic retina morphogenesis in camera-type eye;brain development;establishment or maintenance of epithelial cell apical/basal polarity;single organismal cell-cell adhesion;retina development in camera-type eye;apical junction complex;photoreceptor inner segment;maintenance of epithelial cell apical/basal polarity;retina morphogenesis in camera-type eye;mesodermal cell migration;hindbrain formation;cardiac muscle tissue morphogenesis;neural tube formation;establishment or maintenance of apical/basal cell polarity;establishment or maintenance of polarity of embryonic epithelium;morphogenesis of an epithelial sheet;apical protein localization;dorsal motor nucleus of vagus nerve development",0.000308524,0.000868269,0.000082,0.00032703,0.001409064,0.000990334,0.001674218,0.001968881,0.320154413,0.238608375,0.284638471,0.187029263,0.263051338,0.001121049,0.001460561,NA,NA,NA,NA,NA,0.268000119,0.00176981
ENSAMXG00000009833,TCF4,transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11634],protein dimerization activity,0.00046125,0.000223563,0.000490196,0.000513774,0.000819555,0.001084629,0.000815115,0.001021711,0.206008967,0.130575971,0.435749667,0.117222627,0.24392072,0.000462031,0.000847472,NA,NA,NA,NA,NA,0.212391475,0.001422696
ENSAMXG00000002998,pknox2,pbx/knotted 1 homeobox 2 [Source:ZFIN;Acc:ZDB-GENE-031118-112],"nucleus;DNA binding;regulation of transcription, DNA-templated",0.000407598,0.001462725,0,0.000301192,0.000626568,0.001451546,0.001644389,0.002061404,0.425055383,0.321276417,0.267195388,0.275579309,0.358290416,0.002030597,0.00267335,NA,-0.162479,-1.40766,-0.0899783,-1.83094,0.344855067,0.001691729
ENSAMXG00000000846,spg11,spastic paraplegia 11 [Source:ZFIN;Acc:ZDB-GENE-101017-1],NA,0.0000981,0.00150241,0,0,0.001379748,0.002255336,0.002073906,0.001764392,0.284095071,0.347483729,0.436656123,0.278161891,0.228659884,0.001927712,0.001719437,NA,NA,NA,NA,NA,0.351441287,0.002427413
ENSAMXG00000007462,PDZD4 (2 of 2),PDZ domain containing 4 [Source:HGNC Symbol;Acc:HGNC:21167],protein binding,0.000122867,0.001814863,0,0.000269065,0.001387383,0.001951283,0.002187441,0.002115275,0.40397125,0.440440573,0.297720199,0.138327216,0.132813152,0.001578188,0.001511507,NA,NA,NA,NA,NA,0.428145275,0.002235945
ENSAMXG00000007577,ppdpfa,pancreatic progenitor cell differentiation and proliferation factor a [Source:ZFIN;Acc:ZDB-GENE-030219-204],cell differentiation;multicellular organismal development;cell fate specification;cell proliferation;exocrine pancreas development,0,0.001477051,0,0.000282486,0,0.001569366,0.000149701,0,NA,NA,0.525,0.440471,0.54093,0.001553672,0.001569366,NA,NA,NA,NA,NA,NA,0
ENSAMXG00000017245,GNAZ,"guanine nucleotide binding protein (G protein), alpha z polypeptide [Source:HGNC Symbol;Acc:HGNC:4395]",adenylate cyclase-modulating G-protein coupled receptor signaling pathway;G-protein beta/gamma-subunit complex binding;guanyl nucleotide binding;GTPase activity;nucleotide binding;GTP binding;metabolic process;G-protein coupled receptor signaling pathway;signal transduction;signal transducer activity;cartilage development,0,0.000954208,0,0,0.000284535,0.001348834,0.000156495,0.000156495,0.162896,0.162896,0.3961492,0.046403143,0.060196784,0.000514196,0.000514196,NA,-1.38591,NA,NA,0,0.574512,0.001095462
ENSAMXG00000003979,mcm10,minichromosome maintenance complex component 10 [Source:ZFIN;Acc:ZDB-GENE-041210-42],DNA replication;nucleus,0.0001001,0.002805802,0,0,0.000864933,0.003621977,0.001502253,0.001493908,0.491313667,0.509190167,0.364974312,0.270869443,0.270869443,0.003120473,0.003170623,NA,NA,NA,NA,NA,0.512212513,0.002086463
ENSAMXG00000004001,NA,NA,NA,0.000150602,0.001191039,0,0,0.000251005,0.000753012,0.000125502,0.000188253,NA,0.0465116,0.190625,0.204982,0.204982,0.000753012,0.000828313,NA,NA,NA,NA,NA,0.0367261,0.000125502
ENSAMXG00000009120,SGCZ,"sarcoglycan, zeta [Source:HGNC Symbol;Acc:HGNC:14075]",sarcoglycan complex;integral component of membrane,0.000144718,0.000766152,0,0.000274203,0.000241197,0.001527577,0.000241196,0.000180897,NA,NA,0.4650125,0.3243776,0.342634267,0.001704454,0.001776813,NA,-1.08972,0,NA,0,0.961113,0.002773758
ENSAMXG00000002993,zbtb18,zinc finger and BTB domain containing 18 [Source:ZFIN;Acc:ZDB-GENE-050419-73],protein binding;nucleic acid binding;metal ion binding,0.000182815,0.001247147,0,0.000257296,0.00050844,0.000986018,0.000586401,0.000513525,0.3441885,0.3964495,0.157744505,0.453052958,0.421375064,0.003153706,0.002579305,NA,-0.773248,NA,NA,NA,0.825324571,0.003508237
ENSAMXG00000005226,tbc1d22a,"TBC1 domain family, member 22a [Source:ZFIN;Acc:ZDB-GENE-041114-144]",determination of heart left/right asymmetry,0.0000616,0.00165523,0,0.000116743,0.000942845,0.001647327,0.001493466,0.001426053,0.360726883,0.308858957,0.294230686,0.502940074,0.469715971,0.003295509,0.00338793,NA,NA,NA,NA,NA,0.383590122,0.002385397
ENSAMXG00000005254,gramd4a,GRAM domain containing 4a [Source:ZFIN;Acc:ZDB-GENE-041210-211],integral component of membrane;membrane,0.000300835,0.001613041,0,0,0.0016588,0.002107997,0.001128668,0.001518999,0.217367182,0.1872877,0.349219567,0.133839302,0.182020275,0.000998119,0.001414324,NA,NA,NA,NA,NA,0.31060515,0.002257336
ENSAMXG00000005434,KIF21A (1 of 2),kinesin family member 21A [Source:HGNC Symbol;Acc:HGNC:19349],protein binding;microtubule;kinesin complex;microtubule-based movement;microtubule motor activity;microtubule binding;nucleotide binding;ATP binding;metabolic process,0.0000657,0.001239026,0.0000243,0.000443191,0.000699613,0.00117134,0.001028577,0.001066994,0.229052144,0.153296736,0.233119388,0.173754525,0.222722774,0.001415335,0.0016646,NA,NA,NA,NA,NA,0.30850231,0.001518081
ENSAMXG00000005505,SLCO1A2 (2 of 2),"solute carrier organic anion transporter family, member 1A2 [Source:HGNC Symbol;Acc:HGNC:10956]",protein binding;transmembrane transporter activity;transporter activity;transmembrane transport;ion transport;transport;plasma membrane;integral component of membrane;membrane,0.000423261,0.001817724,0,0,0.00168468,0.00286519,0.001107226,0.001416084,0.141293382,0.13704002,0.493828086,0.136704506,0.116594301,0.001641414,0.001765734,NA,NA,NA,NA,NA,0.285713055,0.002389277
ENSAMXG00000005966,TRHDE (2 of 2),thyrotropin-releasing hormone degrading enzyme [Source:HGNC Symbol;Acc:HGNC:30748],"aminopeptidase activity;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;carbohydrate metabolic process;metallopeptidase activity;proteolysis;catalytic activity;oxidation-reduction process;zinc ion binding;membrane",0.000350672,0.002029362,0,0.001836153,0.00126339,0.002365645,0.003807765,0.003126888,0.523583244,0.391426021,0.3292679,0.260838243,0.295850116,0.003756841,0.003339734,NA,NA,NA,NA,NA,0.36523347,0.002316213
