Stable_Gene_ID,Gene_Name,Gene_Description,GO_Terms,Pi_Tinaja,Pi_RioChoy,Pi_Molino,Pi_Pachon,Pi_Rascon,Dxy_RioChoy:Molino,Dxy_Rascon:Pachon,Dxy_Rascon:Tinaja,Fst_Rascon:Tinaja,Fst_Pachon:Rascon,Fst_RioChoy:Molino,Fst_RioChoy:Pachon,Fst_RioChoy:Tinaja,Dxy_RioChoy:Pachon,Dxy_RioChoy:Tinaja,TajimasD_Molino,TajimasD_RioChoy,TajimasD_Pachon,TajimasD_Tinaja,TajimasD_Rascon,Fst_Rascon:Molino,Dxy_Rascon:Molino,Dxy_Pachon:Molino,Fst_Pachon:Molino,Dxy_Tinaja:Molino,Fst_Tinaja:Molino,Dxy_Tinaja:Pachon,Fst_Tinaja:Pachon,Fst_Outliers
ENSAMXG00000010575,usp2a,ubiquitin specific peptidase 2a [Source:ZFIN;Acc:ZDB-GENE-041212-59],ubiquitinyl hydrolase activity;protein deubiquitination;ubiquitin-dependent protein catabolic process,0.000207254,0.000982085,0,0,0.000518136,0.000518135,0.001986183,0.001899827,0.586540533,0.636841867,0.07291665,0.03202416,0.04494077,0.000518135,0.000610248,NA,NA,NA,NA,NA,0.6305407,0.001986183,0,NA,0.000103627,NA,0.000103627,0,Rascon-Pachon;Rascon-Tinaja; almost Molino-Rascon
ENSAMXG00000000597,atp6v0ca,"ATPase, H+ transporting, lysosomal, V0 subunit ca [Source:ZFIN;Acc:ZDB-GENE-020419-23]","proton-transporting two-sector ATPase complex, proton-transporting domain;proton-transporting V-type ATPase, V0 domain;ATP hydrolysis coupled proton transport;hydrogen ion transmembrane transporter activity;ion transport;transport;integral component of membrane;membrane;embryonic retina morphogenesis in camera-type eye;retina development in camera-type eye;notochord cell vacuolation;response to yeast",0.000217865,0.000925571,0,0,0.001386414,0.001573469,0.000726216,0.000835149,0.061310767,0.058048933,0.701923,0.714555,0.714555,0.001573469,0.001682401,NA,NA,NA,NA,NA,0.041611867,0.000726216,0,NA,0.000108932,NA,0.000108932,0,RioChoy-Molino;RioChoy-Pachon;RioChoy-Tinaja
ENSAMXG00000024867,socs6b,suppressor of cytokine signaling 6b [Source:ZFIN;Acc:ZDB-GENE-030131-1670],protein ubiquitination;intracellular signal transduction;intracellular,0,0.000732458,0,0.000192802,0.001080861,0.004922701,0.000674807,0.000589117,0.105520343,0.083260614,0.836271037,0.826634622,0.756493154,0.004897708,0.004922701,NA,NA,NA,NA,NA,0.0915851,0.000589117,0.0000964,NA,0,NA,0.0000964,0,RioChoy-Molino;RioChoy-Pachon;RioChoy-Tinaja
ENSAMXG00000001518,sh3bgr,SH3 domain binding glutamate-rich protein [Source:ZFIN;Acc:ZDB-GENE-040801-27],NA,0,0.000407,0,0,0.000555,0.0002035,0.001526252,0.001526252,0.862043,0.862043,NA,0.00619094,0.00619094,0.0002035,0.0002035,NA,NA,NA,NA,NA,0.853529,0.001526252,0,NA,0,NA,0,NA,Rascon-Pachon;Rascon-Tinaja; Molino-Rascon
ENSAMXG00000020655,ARPIN,actin-related protein 2/3 complex inhibitor [Source:HGNC Symbol;Acc:HGNC:28782],NA,0.000147493,0.000867603,0.000472361,0,0.000252526,0.00245821,0.001641414,0.001565657,0.4902938,0.5232558,0.734267,0.8611585,0.576169313,0.002622091,0.002695837,NA,NA,NA,NA,NA,0.51836305,0.001893939,0.000245821,0.00926832,0.000319567,0.00926832,0.0000737,0,RioChoy-Molino;RioChoy-Pachon;RioChoy-Tinaja
ENSAMXG00000008890,kctd17,potassium channel tetramerization domain containing 17 [Source:ZFIN;Acc:ZDB-GENE-130531-80],protein binding;protein homooligomerization;macrophage chemotaxis,0,0.001103472,0,0,0.000689684,0.000811688,0.000948317,0.000948317,0.702439,0.702439,0.390625,0.147298047,0.144588813,0.000811688,0.000811688,NA,NA,NA,NA,NA,0.686454,0.000948317,0,NA,0,NA,0,NA,Rascon-Pachon;Rascon-Tinaja
ENSAMXG00000008364,hbz,hemoglobin zeta [Source:ZFIN;Acc:ZDB-GENE-101028-1],hemoglobin complex;oxygen binding;oxygen transport;oxygen transporter activity;transport;metal ion binding;heme binding;iron ion binding,0,0.000788021,0,0,0.000394012,0.000394011,0.002167061,0.002167061,0.932007,0.927448,NA,0.00619094,0.00619094,0.000394011,0.000394011,NA,NA,NA,NA,NA,0.922226,0.002167061,0,NA,0,NA,0,NA,Rascon-Pachon;Rascon-Tinaja; Molino-Rascon
ENSAMXG00000008995,NA,NA,"multicellular organismal development;transcription factor activity, sequence-specific DNA binding;sequence-specific DNA binding;nucleus;DNA binding;regulation of transcription, DNA-templated",0,0.000336021,0,0,0.000809507,0.001064068,0.000420027,0.000420027,0.057610975,0.057610975,0.941176,0.944291,0.31889096,0.001064068,0.001064068,NA,NA,NA,NA,NA,0.0455858,0.000420027,0,NA,0,NA,0,NA,RioChoy-Molino;RioChoy-Pachon
ENSAMXG00000011376,BAALC (1 of 2),"brain and acute leukemia, cytoplasmic [Source:HGNC Symbol;Acc:HGNC:14333]",cytoplasm;integral component of membrane;membrane,0,0.001590618,0,0,0.001126972,0.004278416,0.000688705,0.000688705,0.226804,0.226804,0.8783145,0.43214022,0.44878372,0.004278416,0.004278416,NA,NA,NA,NA,NA,0.206862,0.000688705,0,NA,0,NA,0,NA,RioChoy-Molino
ENSAMXG00000009978,mmd2a,monocyte to macrophage differentiation-associated 2a [Source:ZFIN;Acc:ZDB-GENE-081104-52],cytolysis;integral component of membrane;membrane;heart morphogenesis,0.000146843,0.00110372,0,0,0.000244739,0.000577844,0.00134606,0.001284875,0.856555,0.932007,0.0625,0.032105004,0.03858352,0.000571056,0.000636319,NA,NA,NA,NA,NA,0.927448,0.00136206,0,NA,0.0000743,NA,0.0000734,0,Rascon-Pachon;Rascon-Tinaja; Molino-Rascon
ENSAMXG00000011960,cyp26a1,"cytochrome P450, family 26, subfamily A, polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-990415-44]","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;monooxygenase activity;metal ion binding;heme binding;iron ion binding;oxidation-reduction process;oxidoreductase activity;somitogenesis;pancreas development;heart development;hindbrain development;midbrain-hindbrain boundary development;blood vessel development;vasculature development;retinoic acid catabolic process;cellular response to vitamin A;forebrain anterior/posterior pattern specification;brain morphogenesis;rhombomere 4 morphogenesis;retinal metabolic process;retinoic acid metabolic process;retinoic acid 4-hydroxylase activity;atrial cardiac muscle cell development;mesodermal-endodermal cell signaling;retinoic acid receptor signaling pathway involved in somitogenesis",0.0000679,0.000505837,0,0,0.00084815,0.001131478,0.00143976,0.001434001,0.694614333,0.734079,0.7923675,0.53225998,0.536470647,0.001131478,0.001165422,NA,NA,NA,NA,NA,0.721481333,0.00143976,0,NA,0.0000339,NA,0.0000339,0,"***Rascon-Pachon;Rascon-Tinaja; Molino-Rascon, almost RioChoy-Pachon; RioChoy-Tinaja; RioChoy-Molino"
ENSAMXG00000012302,hs6st1a (1 of 2),heparan sulfate 6-O-sulfotransferase 1a [Source:ZFIN;Acc:ZDB-GENE-050524-1],sulfotransferase activity;metabolic process;integral component of membrane;membrane,0,0.001061023,0,0,0.000344353,0.001483317,0.001893939,0.001893939,0.932007,0.932007,0.700935,0.730551,0.36837097,0.001483317,0.001483317,NA,NA,NA,NA,NA,0.922226,0.001893939,0,NA,0,NA,0,NA,***Rascon-Pachon;Rascon-Tinaja; Molino-Rascon; RioChoy-Molino;RioChoy-Pachon
ENSAMXG00000009986,aif1l,allograft inflammatory factor 1-like [Source:ZFIN;Acc:ZDB-GENE-030131-9646],calcium ion binding,0.000228311,0.002238338,0,0,0.000933998,0.003297818,0.000570776,0.000684932,0.273128,0.273128,0.674919,0.460542647,0.434264313,0.003297818,0.003234399,NA,NA,NA,NA,NA,0.256798,0.000570776,0,NA,0.000114155,NA,0.000114155,0,RioChoy-Molino
ENSAMXG00000020280,rpl19 (2 of 2),ribosomal protein L19 [Source:ZFIN;Acc:ZDB-GENE-040426-2290],ribonucleoprotein complex;translation;ribosome;structural constituent of ribosome;intracellular,0.000171527,0.000976748,0,0,0.000572739,0.001274538,0.000286369,0.000372279,0.0465116,0.0465116,0.675325,0.35428697,0.35428697,0.001274538,0.001360301,NA,NA,NA,NA,NA,0.0367261,0.000286369,0,NA,0.0000858,NA,0.0000858,0,RioChoy-Molino
ENSAMXG00000006765,slc31a1,"solute carrier family 31 (copper transporter), member 1 [Source:ZFIN;Acc:ZDB-GENE-040415-3]",copper ion transmembrane transport;copper ion transmembrane transporter activity;integral component of membrane;membrane;response to copper ion;cellular response to estrogen stimulus;hypotonic salinity response,0.000177305,0.000567839,0,0,0.000296034,0.001674547,0.000148017,0.000148017,0.0465116,0.0465116,0.882812,0.44742847,0.882812,0.001674547,0.001763199,NA,NA,NA,NA,NA,0.0367261,0.000148017,0,NA,0.0000887,NA,0.0000887,0,almost RioChoy-Pachon; RioChoy-Molino;RioChoy-Tinaja
ENSAMXG00000001711,cart2,cocaine- and amphetamine-regulated transcript 2 [Source:ZFIN;Acc:ZDB-GENE-050417-23],negative regulation of appetite;cellular response to starvation;adult feeding behavior;cellular glucose homeostasis;activation of MAPKK activity;cell;extracellular space;G-protein coupled receptor signaling pathway,0,0.00140056,0,0,0.001217533,0.001984127,0.000744048,0.000744048,0.226804,0.206862,0.645833,0.659646,0.659646,0.001984127,0.001984127,NA,NA,NA,NA,NA,0.206862,0.000744048,0,NA,0,NA,0,NA,RioChoy-Molino;RioChoy-Pachon;RioChoy-Tinaja
ENSAMXG00000009197,tbx3a,T-box 3a [Source:ZFIN;Acc:ZDB-GENE-070209-80],"transcription, DNA-templated;transcription factor activity, sequence-specific DNA binding;nucleus;DNA binding;regulation of transcription, DNA-templated;embryonic heart tube development",0,0.000329622,0,0,0.000489237,0.000827196,0.000326158,0.000326158,0.220123867,0.220123867,0.8197425,0.55423798,0.557627647,0.000827196,0.000827196,NA,NA,NA,NA,NA,0.205678367,0.000326158,0,NA,0,NA,0,NA,RioChoy-Molino;RioChoy-Pachon;RioChoy-Tinaja
ENSAMXG00000001450,NA,NA,integral component of membrane;membrane,0,0.001269531,0,0,0.002121212,0.003173828,0.001666667,0.001666667,0.424853,0.402678,0.812405,0.821586,0.821586,0.003173828,0.003173828,NA,NA,NA,NA,NA,0.402678,0.001666667,0,NA,0,NA,0,NA,RioChoy-Molino;RioChoy-Pachon;RioChoy-Tinaja
ENSAMXG00000002331,NA,NA,NA,0,0.001746009,0,0.000236407,0.000394012,0.003283425,0.000315209,0.000197006,0.0465116,0.0465116,0.6705725,0.6484425,0.681984,0.003191489,0.003283425,NA,NA,NA,NA,NA,0.0260074,0.000197006,0.000118203,NA,0,NA,0.000118203,0,RioChoy-Molino;RioChoy-Pachon;RioChoy-Tinaja
ENSAMXG00000015404,stx3a,syntaxin 3A [Source:ZFIN;Acc:ZDB-GENE-040426-1489],synaptic vesicle docking;cell;exocytosis;vesicle-mediated transport;membrane,0,0.000719688,0,0,0.001191692,0.000374532,0.001310861,0.001310861,0.643875,0.643875,0.0625,0.03858352,0.03858352,0.000374532,0.000374532,NA,NA,NA,NA,NA,0.628248,0.001310861,0,NA,0,NA,0,NA,Rascon-Pachon;Rascon-Tinaja
ENSAMXG00000018549,PTP4A3 (2 of 2),"protein tyrosine phosphatase type IVA, member 3 [Source:HGNC Symbol;Acc:HGNC:9636]",protein tyrosine/serine/threonine phosphatase activity;phosphatase activity;protein tyrosine phosphatase activity;dephosphorylation;protein dephosphorylation,0,0.001022031,0,0,0.000985463,0.000965251,0.001355014,0.001355014,0.702439,0.702439,0.458333,0.475302,0.475302,0.000965251,0.000965251,NA,NA,NA,NA,NA,0.686454,0.001355014,0,NA,0,NA,0,NA,Rascon-Pachon;Rascon-Tinaja
ENSAMXG00000000784,NA,NA,calcium ion binding;metal ion binding,0.000217391,0.00079568,0,0,0.001431901,0.000483092,0.002747253,0.002655678,0.6003205,0.6380465,0.15625,0.170232,0.0565344,0.000483092,0.000543478,NA,NA,NA,NA,NA,0.6256125,0.002747253,0,NA,0.000108696,NA,0.000108696,0,Rascon-Pachon;Rascon-Tinaja; almost Molino-Rascon
ENSAMXG00000025139,mtp (2 of 2),microsomal triglyceride transfer protein [Source:ZFIN;Acc:ZDB-GENE-040419-2],NA,0,0.000638569,0,0,0.003047718,0.000319285,0.00335249,0.00335249,0.643875,0.643875,NA,0.00619094,0.00619094,0.000319285,0.000319285,NA,NA,NA,NA,NA,0.628248,0.00335249,0,NA,0,NA,0,NA,Rascon-Pachon;Rascon-Tinaja; almost Molino-Rascon
ENSAMXG00000019395,jarid2a,"jumonji, AT rich interactive domain 2a [Source:ZFIN;Acc:ZDB-GENE-061218-1]",NA,0,0.002714928,0,0,0.004273503,0.001424501,0.006410256,0.006410256,0.6565035,0.6565035,0,0.010294113,0.010294113,0.001424501,0.001424501,NA,NA,NA,NA,NA,0.642407,0.006410256,0,NA,0,NA,0,NA,Rascon-Pachon;Rascon-Tinaja; almost Molino-Rascon
ENSAMXG00000004835,gfi1ab,growth factor independent 1A transcription repressor b [Source:ZFIN;Acc:ZDB-GENE-040116-8],nucleic acid binding;metal ion binding;zinc ion binding;peripheral nervous system development,0.0000885,0.000681647,0,0,0.000272509,0.000921829,0.0007494,0.000719424,0.764864,0.840708,0.270159443,0.20900231,0.19180556,0.000921829,0.000894174,NA,NA,NA,NA,NA,0.840708,0.0007494,0,NA,0.0000442,NA,0.0000442,NA,Rascon-Pachon;Rascon-Tinaja; Molino-Rascon
ENSAMXG00000014554,dlx6a,distal-less homeobox 6a [Source:ZFIN;Acc:ZDB-GENE-980526-448],"sequence-specific DNA binding;nucleus;DNA binding;regulation of transcription, DNA-templated;pectoral fin development;medial fin morphogenesis",0,0.000675866,0,0,0.000224922,0.000198683,0.001237067,0.001237067,0.932007,0.932007,0.003920665,0.007273277,0.020449067,0.000346754,0.000346754,NA,NA,NA,NA,NA,0.927448,0.001248865,0,NA,0,NA,0,NA,Rascon-Pachon;Rascon-Tinaja; Molino-Rascon
ENSAMXG00000017372,xkr8.3,"XK, Kell blood group complex subunit-related family, member 8, tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-041010-107]",integral component of membrane;membrane,0.0000827,0.001270428,0,0.0000827,0.000476227,0.000689275,0.001419906,0.001419906,0.8547275,0.8547275,0.109512333,0.050940725,0.045968527,0.000726036,0.000730631,NA,NA,NA,NA,NA,0.8457415,0.00137855,0.0000414,NA,0.0000414,NA,0.0000827,0,Rascon-Pachon;Rascon-Tinaja; Molino-Rascon
ENSAMXG00000013303,CACFD1,calcium channel flower domain containing 1 [Source:HGNC Symbol;Acc:HGNC:1365],synaptic vesicle endocytosis;integral component of synaptic vesicle membrane;calcium channel activity;calcium ion transmembrane transport;integral component of membrane;membrane,0,0.000512171,0,0,0.000636618,0.0002677,0.001872659,0.0017507,0.862043,0.862043,0.00784133,0.01051327,0.007016135,0.000262346,0.000256086,NA,NA,NA,NA,NA,0.853529,0.001872659,0,NA,0,NA,0,NA,Rascon-Pachon;Rascon-Tinaja; Molino-Rascon
ENSAMXG00000004955,kctd6a,potassium channel tetramerization domain containing 6a [Source:ZFIN;Acc:ZDB-GENE-050208-474],protein binding;protein homooligomerization,0,0.001988931,0,0,0.000486619,0.001007373,0.002676399,0.002676399,0.932007,0.932007,0.0723144,0.0926371,0.09821746,0.001115166,0.001115166,NA,NA,NA,NA,NA,0.927448,0.001414609,0,NA,0,NA,0,NA,Rascon-Pachon;Rascon-Tinaja; Molino-Rascon
ENSAMXG00000016932,lsm4,"LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:ZFIN;Acc:ZDB-GENE-040426-1652]",RNA processing,0.000234742,0.002930437,0,0,0.000391237,0.003521127,0.0021518,0.002053991,0.856555,0.932007,0.444784333,0.34453226,0.34453226,0.003521127,0.003638498,NA,NA,NA,NA,NA,0.927448,0.0021518,0,NA,0.000117371,NA,0.000117371,0,Rascon-Pachon;Rascon-Tinaja; Molino-Rascon
ENSAMXG00000013286,NA,NA,"2 iron, 2 sulfur cluster binding;iron-sulfur cluster binding;metal ion binding;oxidation-reduction process;oxidoreductase activity",0,0.002263532,0,0,0.000721502,0.001924002,0.003968254,0.003968254,0.932007,0.932007,0.390625,0.408317,0.408317,0.001924002,0.001924002,NA,NA,NA,NA,NA,0.927448,0.003968254,0,NA,0,NA,0,NA,Rascon-Pachon;Rascon-Tinaja; Molino-Rascon
ENSAMXG00000003429,tnfsf10,"tumor necrosis factor (ligand) superfamily, member 10 [Source:ZFIN;Acc:ZDB-GENE-040718-335]",protein binding;cytokine activity;extracellular space;immune response;tumor necrosis factor receptor binding;membrane,0.00011274,0.000929365,0,0,0.000385357,0.000508894,0.00327553,0.003217726,0.932696667,0.954671333,0.05816931,0.053459185,0.053459185,0.000508894,0.000565264,NA,NA,NA,NA,NA,0.951632,0.00327553,0,NA,0.0000564,NA,0.0000564,0,Rascon-Pachon;Rascon-Tinaja; Molino-Rascon
ENSAMXG00000017470,chchd7,coiled-coil-helix-coiled-coil-helix domain containing 7 [Source:ZFIN;Acc:ZDB-GENE-080204-55],NA,0,0.000801341,0,0,0.000638571,0.000425713,0.003512133,0.003512133,0.932007,0.932007,0.0625,0.0709761,0.0709761,0.000425713,0.000425713,NA,NA,NA,NA,NA,0.927448,0.003512133,0,NA,0,NA,0,NA,Rascon-Pachon;Rascon-Tinaja; Molino-Rascon
ENSAMXG00000011937,ccnb1,cyclin B1 [Source:ZFIN;Acc:ZDB-GENE-000406-10],nucleus;oocyte maturation,0,0.000920081,0,0.000162639,0.000429185,0.000476872,0.001573677,0.001645207,0.636841867,0.587475867,0.041666667,0.028389833,0.025580237,0.000562709,0.000476872,NA,NA,NA,NA,NA,0.6305407,0.001645207,0.0000858,0.048057,0,NA,0.0000858,0.0555556,Rascon-Tinaja
ENSAMXG00000018133,SLC10A3,"solute carrier family 10, member 3 [Source:HGNC Symbol;Acc:HGNC:22979]",transmembrane transport;integral component of membrane;membrane,0,0.000474834,0.000281453,0,0.000596405,0.000404138,0.001718213,0.001718213,0.613520533,0.600587467,NA,0.307692,0.307692,0.000356464,0.000356464,NA,NA,NA,NA,NA,0.45630425,0.001913876,0.00015949,0.0833333,0.00015949,0.0833333,0,NA,Rascon-Tinaja
ENSAMXG00000000773,ube2c,ubiquitin-conjugating enzyme E2C [Source:ZFIN;Acc:ZDB-GENE-051030-48],ligase activity;nucleotide binding;ATP binding;metabolic process,0,0.001551333,0,0,0.001238062,0.000864678,0.000648508,0.000648508,0.0853064,0.0853064,0.1047473,0.063397495,0.063397495,0.000864678,0.000864678,NA,NA,NA,NA,NA,0.074158733,0.000648508,0,NA,0,NA,0,NA,NA
ENSAMXG00000000901,tfap2c,transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma) [Source:ZFIN;Acc:ZDB-GENE-041212-61],"transcription factor activity, sequence-specific DNA binding;nucleus;regulation of transcription, DNA-templated;neural crest cell development;otic placode formation;ectodermal placode development;olfactory placode development;neural crest cell fate specification;ectodermal placode formation",0,0.000673721,0,0,0.000468477,0.000515597,0.000273224,0.000271223,0.1366578,0.1366578,0.428571,0.24095297,0.123571955,0.000522876,0.000515198,NA,NA,NA,NA,NA,0.12179405,0.000271444,0,NA,0,NA,0,NA,NA
ENSAMXG00000002246,arpc4,"actin related protein 2/3 complex, subunit 4 [Source:ZFIN;Acc:ZDB-GENE-010724-9]",actin filament polymerization;Arp2/3 complex-mediated actin nucleation;actin cytoskeleton;Arp2/3 protein complex,0,0.000224014,0,0,0.000298686,0.000112007,0.000149343,0.000149343,0.0465116,0.0465116,0.00784133,0.0148356,0.0148356,0.000112007,0.000112007,NA,NA,NA,NA,NA,0.0367261,0.000149343,0,NA,0,NA,0,NA,Diversity_too_low_RioChoy
ENSAMXG00000001524,pfdn5,prefoldin 5 [Source:ZFIN;Acc:ZDB-GENE-030131-6858],prefoldin complex;unfolded protein binding;protein folding,0,0.001580588,0,0,0,0.001089325,0,0,NA,NA,0.339286,0.12280496,0.12280496,0.001089325,0.001089325,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,Diversity_too_low_RASCON
ENSAMXG00000002195,ddi2,DNA-damage inducible protein 2 [Source:ZFIN;Acc:ZDB-GENE-031030-15],aspartic-type endopeptidase activity;proteolysis,0,0.000435353,0,0.0000865,0,0.000816993,0.0000433,0,NA,NA,0.44375,0.41566555,0.45209205,0.000788158,0.000816993,NA,NA,NA,NA,NA,NA,0,0.0000433,NA,0,NA,0.0000433,0,Diversity_too_low_RASCON
