,Stable_Gene_ID,Gene_Name,Gene_Description,GO_Terms,Pi_Tinaja,Pi_RioChoy,Pi_Molino,Pi_Pachon,Pi_Rascon,Dxy_RioChoy:Molino,Dxy_Rascon:Pachon,Dxy_Rascon:Tinaja,Fst_Rascon:Tinaja,Fst_Pachon:Rascon,Fst_RioChoy:Molino,Fst_RioChoy:Pachon,Fst_RioChoy:Tinaja,Dxy_RioChoy:Pachon,Dxy_RioChoy:Tinaja,TajimasD_Molino,TajimasD_RioChoy,TajimasD_Pachon,TajimasD_Tinaja,TajimasD_Rascon
11,ENSAMXG00000026048,gpr132a,G protein-coupled receptor 132a [Source:ZFIN;Acc:ZDB-GENE-131127-108],G-protein coupled receptor signaling pathway;signal transduction;G-protein coupled receptor activity;signal transducer activity;integral component of membrane;membrane,0.000574924,0.00201206,0,0.000209643,0.000331017,0.001544742,0.00282743,0,0.855939333,0.929520667,0.243125,0.38540848,0.421715277,0.003511837,0.003365332,NA,0.531755,-1.46933,-1.40841,-1.45138
12,ENSAMXG00000001150,gpr142,G protein-coupled receptor 142 [Source:ZFIN;Acc:ZDB-GENE-130603-30],G-protein coupled receptor signaling pathway;G-protein coupled receptor activity;integral component of membrane;membrane,0.000425194,0.000989055,0,0,0.00061958,0.002592399,0.000309789,0,0.18075188,0.0364928,0.69168725,0.251485313,0.356511985,0.000767582,0.001496785,NA,NA,NA,NA,NA
13,ENSAMXG00000026277,GPR148,G protein-coupled receptor 148 [Source:HGNC Symbol;Acc:HGNC:23623],G-protein coupled receptor signaling pathway;G-protein coupled receptor activity;integral component of membrane;membrane,0.000885548,0.002736799,0,0.000673907,0.000705469,0.003894768,0.00462963,0,0.8168276,0.843342,0.362931933,0.367503422,0.344907889,0.003971193,0.004024103,NA,0.386529,-0.659391,-0.746239,-1.74687
14,ENSAMXG00000026332,gpr65,G protein-coupled receptor 65 [Source:ZFIN;Acc:ZDB-GENE-120709-81],G-protein coupled receptor signaling pathway;signal transduction;G-protein coupled receptor activity;signal transducer activity;integral component of membrane;membrane,0.000404414,0.001872538,0,0.000317754,0.002494761,0.00140261,0.00417124,0,0.604330371,0.518495571,0.288194333,0.15778192,0.078590066,0.001628247,0.001420905,NA,NA,NA,NA,NA
15,ENSAMXG00000002063,GPR68,G protein-coupled receptor 68 [Source:HGNC Symbol;Acc:HGNC:4519],G-protein coupled receptor signaling pathway;signal transduction;G-protein coupled receptor activity;signal transducer activity;integral component of membrane;membrane,0.00194921,0.000796916,0,0,0.00124592,0.00057761,0.004017013,0,0.5369034,0.8753414,0.2265625,0.685685505,0.504394443,0.005303508,0.004452846,NA,-0.0924089,NA,0.143379,-0.751454
16,ENSAMXG00000025067,gpr88,G protein-coupled receptor 88 [Source:ZFIN;Acc:ZDB-GENE-030131-8265],G-protein coupled receptor signaling pathway;G-protein coupled receptor activity;integral component of membrane;membrane;protein binding;posterior lateral line development;posterior lateral line neuromast deposition,0,0.000810952,0,0.000140746,0.000895657,0.001536363,0.001384002,0,0.310512175,0.305386125,0.6837605,0.22531747,0.162670813,0.000712431,0.000649052,NA,NA,NA,NA,NA
17,ENSAMXG00000001182,hcrtr2,hypocretin (orexin) receptor 2 [Source:ZFIN;Acc:ZDB-GENE-070228-3],"circadian sleep/wake cycle process;orexin receptor activity;feeding behavior;G-protein coupled receptor signaling pathway;G-protein coupled receptor activity;integral component of membrane;membrane;melatonin metabolic process;circadian behavior;regulation of circadian sleep/wake cycle, sleep",0.001047584,0.001191204,0,0.000239808,0.000508684,0.001687539,0.003210765,0,0.346612967,0.657273767,0.46017975,0.444431608,0.268370608,0.003788081,0.00258904,NA,-0.479823,-1.72331,-1.10408,-1.17901
18,ENSAMXG00000024935,mc5rb,melanocortin 5b receptor [Source:ZFIN;Acc:ZDB-GENE-021223-4],plasma membrane;melanocortin receptor activity;G-protein coupled receptor signaling pathway;signal transduction;G-protein coupled receptor activity;signal transducer activity;integral component of membrane;membrane;negative regulation of apoptotic process;pancreas development;brain development;heart development;liver development;digestive tract development,0.000702112,0.00161069,0,0.000316814,0.000339444,0.004865354,0.001176737,0,0.856555,0.4869798,0.486519556,0.412377343,0.423245577,0.003897941,0.003756506,NA,NA,NA,NA,NA
19,ENSAMXG00000010894,mtnr1al,melatonin receptor type 1A like [Source:ZFIN;Acc:ZDB-GENE-990415-154],melatonin receptor activity;G-protein coupled receptor signaling pathway;signal transduction;G-protein coupled receptor activity;signal transducer activity;integral component of membrane;membrane,9.63E-05,0.00092388,0,0,0.001535827,0.001371494,0.001137102,0,0.20224036,0.22818156,0.642569,0.220685647,0.181978213,0.000769375,0.000799481,NA,NA,NA,NA,NA
20,ENSAMXG00000001915,mtnr1ba,melatonin receptor type 1Ba [Source:ZFIN;Acc:ZDB-GENE-990415-157],melatonin receptor activity;G-protein coupled receptor signaling pathway;signal transduction;G-protein coupled receptor activity;signal transducer activity;integral component of membrane;membrane,0,0.000550316,0,0.000241234,0.000684933,0.002114571,0.000494673,0,0.0465116,0.043249767,0.860927,0.28973347,0.38404797,0.000889971,0.000961169,NA,NA,NA,NA,NA
25,ENSAMXG00000012321,NPFFR2 (1 of 2),neuropeptide FF receptor 2 [Source:HGNC Symbol;Acc:HGNC:4525],regulation of cAMP-dependent protein kinase activity;regulation of adenylate cyclase activity;regulation of MAPK cascade;opioid receptor binding;neuropeptide receptor activity;neuropeptide signaling pathway;G-protein coupled receptor signaling pathway;signal transduction;G-protein coupled receptor activity;signal transducer activity;integral component of membrane;membrane,0.000149075,0.00142537,0,0.000533054,0.001108648,0.002841157,0.00103593,0,0.18133756,0.170682433,0.6622616,0.230346485,0.243681313,0.001306932,0.001346272,NA,0.506459,0.413494,0,-0.378513
26,ENSAMXG00000026043,npy7r,neuropeptide Y receptor Y7 [Source:ZFIN;Acc:ZDB-GENE-040924-9],neuropeptide Y receptor activity;neuropeptide signaling pathway;G-protein coupled receptor signaling pathway;signal transduction;G-protein coupled receptor activity;signal transducer activity;integral component of membrane;membrane;neuropeptide binding,0.001552442,0.001581822,0,0.000965543,0.000819002,0.003728267,0.000968468,0,0.1089226,0.09550795,0.6561145,0.523430823,0.524374988,0.003449116,0.003366057,NA,-0.466091,-0.138122,0.0661372,-1.10317
27,ENSAMXG00000001266,opn1mw4,"opsin 1 (cone pigments), medium-wave-sensitive, 4 [Source:ZFIN;Acc:ZDB-GENE-990604-43]",response to stimulus;protein-chromophore linkage;photoreceptor activity;phototransduction;visual perception;G-protein coupled receptor signaling pathway;signal transduction;G-protein coupled receptor activity;signal transducer activity;integral component of membrane;membrane,0.000933578,0.00048956,0,0.000108085,0.001193845,0.000270212,0.002783182,0,0.31112025,0.730261,0.0625,0.3617989,0.207223425,0.001188932,0.001053826,NA,NA,NA,NA,NA
28,ENSAMXG00000002463,oprl1,opiate receptor-like 1 [Source:ZFIN;Acc:ZDB-GENE-040312-4],nociceptin receptor activity;opioid receptor signaling pathway;opioid receptor activity;G-protein coupled receptor signaling pathway;signal transduction;G-protein coupled receptor activity;signal transducer activity;integral component of membrane;membrane;neuropeptide binding;integral component of cell outer membrane,0.000561044,0.002564756,0.002290093,0.000404414,0.001150116,0.004941563,0.00379538,0,0.6298268,0.55199225,0.5474835,0.238061127,0.241627506,0.004410817,0.004301918,NA,NA,NA,NA,NA
29,ENSAMXG00000025947,or132-5,"odorant receptor, family H, subfamily 132, member 5 [Source:ZFIN;Acc:ZDB-GENE-070806-21]",G-protein coupled receptor signaling pathway;G-protein coupled receptor activity;integral component of membrane;membrane,0.000105597,0.000766093,0,0.0009726,0.000351989,0.001231961,0.001179162,0,0.634355533,0.209472175,0.503906,0.173260245,0.36055033,0.001308225,0.002469788,NA,-1.12822,1.48611,0,-1.45138
30,ENSAMXG00000026496,prlh2r,prolactin releasing hormone 2 receptor [Source:ZFIN;Acc:ZDB-GENE-120411-41],neuropeptide Y receptor activity;neuropeptide signaling pathway;G-protein coupled receptor signaling pathway;signal transduction;G-protein coupled receptor activity;signal transducer activity;integral component of membrane;membrane,0.001090059,0.00218867,0,9.88E-05,0.000272264,0.001858025,0.000798642,0,0.3598495,0.853529,0.1789825,0.316029438,0.155445074,0.002785322,0.002662963,NA,NA,NA,NA,NA
31,ENSAMXG00000008187,ptger4b,prostaglandin E receptor 4 (subtype EP4) b [Source:ZFIN;Acc:ZDB-GENE-060531-102],prostaglandin receptor activity;prostaglandin E receptor activity;G-protein coupled receptor signaling pathway;G-protein coupled receptor activity;integral component of membrane;membrane,0.000446159,0.001559807,0,0,0.000359713,0.001978425,0.001498801,0,0.66767052,0.50625755,0.37274115,0.483011082,0.301521447,0.004452883,0.002736727,NA,NA,NA,NA,NA
32,ENSAMXG00000026346,rho,rhodopsin [Source:ZFIN;Acc:ZDB-GENE-990415-271],response to stimulus;protein-chromophore linkage;photoreceptor activity;phototransduction;visual perception;G-protein coupled receptor signaling pathway;signal transduction;G-protein coupled receptor activity;signal transducer activity;integral component of membrane;membrane;photoreceptor outer segment;absorption of visible light;G-protein coupled photoreceptor activity,0.000189934,0.000398023,0.000118708,0.000500924,0.000844311,0.001226654,0.001435326,0,0.72381532,0.2021645,0.27475399,0.59595415,0.786777433,0.002343079,0.004554448,0,-0.685249,0,-1.51284,-1.83094
33,ENSAMXG00000017584,rrh,retinal pigment epithelium-derived rhodopsin homolog [Source:ZFIN;Acc:ZDB-GENE-040912-94],response to stimulus;protein-chromophore linkage;photoreceptor activity;visual perception;G-protein coupled receptor signaling pathway;signal transduction;G-protein coupled receptor activity;signal transducer activity;integral component of membrane;membrane,0.000194332,0.001401039,0,0.000205128,0.00049728,0.001424501,0.001333333,0,0.6071625,0.5655745,0.424768333,0.5385305,0.253770333,0.00239886,0.001116809,NA,1.56977,-1.51284,0,0
34,ENSAMXG00000004312,si:ch211-233f11.5 (2 of 4),si:ch211-233f11.5 [Source:ZFIN;Acc:ZDB-GENE-131127-239],adenosine receptor signaling pathway;G-protein coupled adenosine receptor activity;G-protein coupled receptor signaling pathway;signal transduction;G-protein coupled receptor activity;signal transducer activity;integral component of membrane;membrane,0.001017149,0.00080047,0,0,0.002948497,0.001685393,0.003093363,0,0.163712375,0.2602554,0.721591,0.740402,0.594474625,0.002559301,0.005617978,NA,0.549582,NA,-0.570561,-0.206913
35,ENSAMXG00000025379,sstr1a,somatostatin receptor 1a [Source:ZFIN;Acc:ZDB-GENE-090429-1],somatostatin signaling pathway;somatostatin receptor activity;G-protein coupled receptor signaling pathway;signal transduction;G-protein coupled receptor activity;signal transducer activity;integral component of membrane;membrane,0.00027248,0.000674486,0,0.000488927,0.000579039,0.000558092,0.002737226,0,0.703386775,0.56189672,0.2199555,0.197277,0.441304567,0.000666463,0.001471334,NA,0.659307,-0.111868,-1.72331,-1.17901
36,ENSAMXG00000021585,tbxa2r,thromboxane A2 receptor [Source:ZFIN;Acc:ZDB-GENE-131016-6],thromboxane receptor activity;G-protein coupled receptor signaling pathway;signal transduction;G-protein coupled receptor activity;signal transducer activity;integral component of membrane;membrane;thromboxane A2 signaling pathway;thromboxane A2 receptor activity,9.18E-05,0.001165309,0,0.004180562,0.00196177,0.000684779,0.006382002,0,0.639437442,0.33968062,0.08121718,0.359507414,0.664487014,0.004517719,0.006259665,NA,NA,NA,NA,NA
37,ENSAMXG00000012187,trhra,thyrotropin-releasing hormone receptor a [Source:ZFIN;Acc:ZDB-GENE-100922-18],thyrotropin-releasing hormone receptor activity;G-protein coupled receptor signaling pathway;signal transduction;G-protein coupled receptor activity;signal transducer activity;integral component of membrane;membrane,0.000979592,0.002765506,0.000385487,0.000163265,0.000272109,0.003352623,0.001714286,0,0.233855,0.656244367,0.407209725,0.289855843,0.192969189,0.002443311,0.002793084,-1.78616,0.584166,-1.51284,-0.925627,-1.45138
38,ENSAMXG00000010897,valopb,vertebrate ancient long opsin b [Source:ZFIN;Acc:ZDB-GENE-040724-41],response to stimulus;protein-chromophore linkage;photoreceptor activity;phototransduction;visual perception;G-protein coupled receptor signaling pathway;signal transduction;G-protein coupled receptor activity;signal transducer activity;integral component of membrane;membrane;erythrocyte differentiation;myeloid cell differentiation;definitive hemopoiesis,0.00017681,0.001286388,0,8.38E-05,0.00085021,0.001628513,0.000914294,0,0.602671,0.519207,0.3325,0.l237830582857,0.120038847,0.001586637,0.000879397,NA,-0.393469,0,-1.46933,1.55696
39,ENSAMXG00000002089,shha,sonic hedgehog a [Source:ZFIN;Acc:ZDB-GENE-980526-166],hydrolase activity;intein-mediated protein splicing;peptidase activity;proteolysis;extracellular space;cell-cell signaling;cell communication;multicellular organismal development;plasma membrane;membrane;extracellular region;muscle organ development;axon guidance;pectoral fin development;camera-type eye development;somitogenesis;anterior/posterior pattern specification;dorsal/ventral pattern formation;oligodendrocyte differentiation;heart looping;determination of left/right symmetry;pancreas development;cell fate specification;neuron differentiation;regulation of gene expression;nervous system development;brain development;smoothened signaling pathway;negative regulation of cell proliferation;spinal cord motor neuron cell fate specification;endocrine pancreas development;central nervous system development;retina development in camera-type eye;hindbrain development;eye photoreceptor cell development;pronephros development;embryonic viscerocranium morphogenesis;odontogenesis;forebrain development;oligodendrocyte progenitor proliferation;embryonic neurocranium morphogenesis;adenohypophysis development;skeletal muscle fiber development;regulation of vascular endothelial growth factor receptor signaling pathway;striated muscle cell development;diencephalon development;cardioblast differentiation;inner ear development;floor plate development;glomerulus development;floor plate formation;photoreceptor cell maintenance;glial cell differentiation;blood circulation;post-embryonic foregut morphogenesis;neuron fate commitment;embryonic camera-type eye development;regulation of cartilage development;neural plate morphogenesis;caudal fin morphogenesis;gliogenesis;embryonic digestive tract morphogenesis;swim bladder morphogenesis;muscle cell fate specification;regulation of BMP signaling pathway involved in heart jogging;endocardial cell differentiation,0.000501651,0.001711597,0,0.000451951,0.000325192,0.003695614,0.001176912,0,0.290240733,0.5097561,0.720202833,0.165694095,0.330392751,0.00167939,0.002707175,NA,NA,NA,NA,NA
40,,rx3,retina and anterior neural fold homeobox,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
41,ENSAMXG00000016301,adad1,adenosine deaminase domain containing 1 (testis-specific) [Source:ZFIN;Acc:ZDB-GENE-030131-6285],adenosine deaminase activity;RNA processing;RNA binding,0.000287033,0.000472207,0,0,0.000286698,0.001019368,0.000621177,0,0.619656633,0.341676733,0.526515,0.204550547,0.498863806,0.000445973,0.002134302,NA,-0.154741,NA,-1.61128,-1.62929
42,ENSAMXG00000000127,knstrn,kinetochore-localized astrin/SPAG5 binding protein [Source:ZFIN;Acc:ZDB-GENE-081022-187],NA,0,0.000683632,0,0.00042539,0.001392691,0.001584786,0.002139461,0,0.1608452,0.32019465,0.882812,0.00619094,0.300349293,0.000537066,0.001584786,NA,NA,NA,NA,NA
43,ENSAMXG00000000447,asz1,"ankyrin repeat, SAM and basic leucine zipper domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-040426-988]",protein binding,0.000280308,0.001268715,0,0,0.001111254,0.002608425,0.002820874,0,0.531215943,0.573785086,0.6432352,0.32174327,0.31716264,0.002530561,0.002604532,NA,NA,NA,NA,NA
44,ENSAMXG00000000504,TRIM35,tripartite motif containing 35 [Source:HGNC Symbol;Acc:HGNC:16285],protein binding;SRP-dependent cotranslational protein targeting to membrane;intracellular;GTP binding;metal ion binding;zinc ion binding,7.14E-05,0.000574229,0,0,0.001040448,0.001309524,0.002742012,0,0.273878233,0.46881605,0.800592,0.261231764,0.442331637,0.001071429,0.002059524,NA,NA,NA,NA,NA
45,ENSAMXG00000000597,atp6v0ca,"ATPase, H+ transporting, lysosomal, V0 subunit ca [Source:ZFIN;Acc:ZDB-GENE-020419-23]","proton-transporting two-sector ATPase complex, proton-transporting domain;proton-transporting V-type ATPase, V0 domain;ATP hydrolysis coupled proton transport;hydrogen ion transmembrane transporter activity;ion transport;transport;integral component of membrane;membrane;embryonic retina morphogenesis in camera-type eye;retina development in camera-type eye;notochord cell vacuolation;response to yeast",0.000217865,0.000925571,0,0,0.001386414,0.001573469,0.000726216,0,0.061310767,0.058048933,0.701923,0.714555,0.714555,0.001573469,0.001682401,NA,NA,NA,NA,NA
46,ENSAMXG00000001157,pde6g,"phosphodiesterase 6G, cGMP-specific, rod, gamma [Source:ZFIN;Acc:ZDB-GENE-030904-1]","cGMP binding;3',5'-cyclic-nucleotide phosphodiesterase activity;metabolic process;visual perception",0.005047758,0.001148898,0,0,0.000651043,0.003255208,0.004231771,0,0.493114,0.5232558,0.782414,0.6988017,0.283339333,0.008463542,0.004636863,NA,NA,NA,NA,NA
47,ENSAMXG00000001452,tnnt2d,"troponin T2d, cardiac [Source:ZFIN;Acc:ZDB-GENE-050626-97]",regulation of muscle contraction;troponin complex;sarcomere organization,0.000887956,0.000320782,0,0,0.00062744,0.001363327,0.000383436,0,0.338722,0.273128,0.882812,0.0709761,0.34032955,0.000170416,0.001244035,NA,0,NA,0.0632525,0
48,ENSAMXG00000001488,itm2cb,integral membrane protein 2Cb [Source:ZFIN;Acc:ZDB-GENE-030131-7806],integral component of membrane;membrane;pectoral fin development;fin development;spinal cord dorsal/ventral patterning,0.000375453,0.001469951,0,0.000389864,0.001041545,0.003026373,0.002471538,0,0.53441724,0.421900025,0.649786467,0.1603912,0.226896456,0.002214937,0.003156074,NA,NA,NA,NA,NA
49,ENSAMXG00000001644,MTF1,metal-regulatory transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:7428],nucleic acid binding;metal ion binding;retina development in camera-type eye,0.000450969,0.002062943,0,0,0.000394743,0.004053924,0.000868432,0,0.23246945,0.38401846,0.674794,0.544544001,0.47837439,0.00462963,0.004114427,NA,NA,NA,NA,NA
50,ENSAMXG00000001799,apoeb,apolipoprotein Eb [Source:ZFIN;Acc:ZDB-GENE-980526-368],lipoprotein metabolic process;lipid transport;lipid binding;transport;extracellular region;heart looping;protein binding;hemopoiesis,0,0.000761356,0,0.000226103,0.002190803,0.003285544,0.001417578,0,0.311090057,0.144655733,0.6653561,0.5303265,0.80489825,0.001393867,0.003882915,NA,NA,NA,NA,NA
51,ENSAMXG00000001983,si:dkey-100n23.5,si:dkey-100n23.5 [Source:ZFIN;Acc:ZDB-GENE-070912-347],cAMP binding;cell surface receptor signaling pathway;transmembrane signaling receptor activity;G-protein coupled receptor signaling pathway;G-protein coupled receptor activity;integral component of membrane;membrane;absorption of visible light;11-cis retinal binding;all-trans retinal binding,0.000467648,0.001678863,0,0,0.001254096,0.003500269,0.001548423,0,0.232448733,0.2944554,0.680403,0.20065198,0.134276735,0.001166756,0.001346257,NA,NA,NA,NA,NA
52,ENSAMXG00000002176,si:ch211-165b19.4,si:ch211-165b19.4 [Source:ZFIN;Acc:ZDB-GENE-070912-132],serine-type endopeptidase activity;proteolysis,0.00206115,0.020771913,0,0.002202479,0.010881939,0.040187198,0.013391137,0,0.343084506,0.435165529,0.657966858,0.436668253,0.327303861,0.02375942,0.019881985,NA,NA,NA,NA,NA
53,ENSAMXG00000002816,baz1a,"bromodomain adjacent to zinc finger domain, 1A [Source:ZFIN;Acc:ZDB-GENE-030131-6105]",protein binding;metal ion binding;zinc ion binding,0.000592353,0.000558995,2.94E-05,0.001127617,0.000831399,0.003718606,0.001679938,0,0.415681679,0.250951287,0.802297647,0.477572952,0.575822876,0.002974668,0.003600146,NA,NA,NA,NA,NA
54,ENSAMXG00000002983,hpcal1,hippocalcin-like 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1242],calcium ion binding;metal ion binding;signal transduction,0.000345423,0.000383803,0,0,0.000288851,0.001727116,0.001877527,0,NA,0.5232558,0.941176,0.47524097,0.00619094,0.001727116,0.000364613,NA,-1.50776,NA,-1.51284,0
56,ENSAMXG00000003335,larp4b,"La ribonucleoprotein domain family, member 4B [Source:ZFIN;Acc:ZDB-GENE-061027-39]",nucleic acid binding,0.000584253,0.001092866,0,0.000515804,0.000745965,0.001961088,0.00102183,0,0.1354284,0.195625425,0.668857333,0.485914625,0.483010653,0.00265521,0.00238685,NA,NA,NA,NA,NA
57,ENSAMXG00000004345,ntm,neurotrimin [Source:ZFIN;Acc:ZDB-GENE-060421-6020],protein binding;identical protein binding,0.00017116,0.001133606,0,0.00070838,0.000602229,0.002609656,0.003601659,0,0.4522348,0.461607325,0.68978775,0.352988411,0.671014706,0.002619693,0.004326006,NA,0.237172,-0.88755,0,-1.74687
58,ENSAMXG00000005242,zmynd11,"zinc finger, MYND-type containing 11 [Source:ZFIN;Acc:ZDB-GENE-050522-301]",protein binding;metal ion binding;zinc ion binding;negative regulation of BMP signaling pathway,5.21E-05,0.000561683,6.51E-05,0.000104167,0.000505051,0.001558883,0.000833333,0,0.212205483,0.219094367,0.65739825,0.28013366,0.130416504,0.000873843,0.000538194,NA,NA,NA,NA,NA
59,ENSAMXG00000006375,myct1a,myc target 1a [Source:ZFIN;Acc:ZDB-GENE-041001-143],integral component of membrane;membrane;embryonic hemopoiesis,0,0.001191281,0,0,0.000277316,0.007389163,0.001802551,0,0.0465116,0.51836305,0.8940046,0.713261788,0.641577235,0.005929575,0.004287539,NA,NA,NA,NA,NA
60,ENSAMXG00000007286,zbtb25,zinc finger and BTB domain containing 25 [Source:ZFIN;Acc:ZDB-GENE-041001-125],metal ion binding,9.91E-05,0.000959693,0,0,0.001351608,0.00138765,0.001784121,0,0.27467905,0.268324914,0.682791,0.305492996,0.361505846,0.001486768,0.002428387,NA,NA,NA,NA,NA
