Stable_Gene_ID,Gene_Name,Gene_Description,GO_Terms,Pi_Tinaja,Pi_RioChoy,Pi_Molino,Pi_Pachon,Pi_Rascon,Dxy_RioChoy.Molino,,Dxy_Rascon.Pachon,Dxy_Rascon.Tinaja,Fst_Rascon.Tinaja,Fst_Pachon.Rascon,Fst_RioChoy.Molino,Fst_RioChoy.Pachon,Fst_RioChoy.Tinaja,Dxy_RioChoy.Pachon,Dxy_RioChoy.Tinaja,TajimasD_Molino,TajimasD_RioChoy,TajimasD_Pachon,TajimasD_Tinaja,TajimasD_Rascon
ENSAMXG00000013749, ,,,,,,,,,,0.0137272,0.01630365,,,,,,,,,,,,
ENSAMXG00000030958, ,,,,,,,,,,0.00146012,0.0051977,,,,,,,,,,,,
ENSAMXG00000041213,,,,,,,,,,,0.01490006,0.01240907,,,,,,,,,,,,
ENSAMXG00000037210,,,,,,,,,,,0.00596759,0.00664008,,,,,,,,,,,,
ENSAMXG00000041546,,,,,,,,,,,0.00353938,0.00417088,,,,,,,,,,,,
ENSAMXG00000035978,,,,,,,,,,,0.02360015,0.01994852,,,,,,,,,,,,
ENSAMXG00000037582, ,,,,,,,,,,0.01865378,0.01877551,,,,,,,,,,,,
ENSAMXG00000037257,egfl7,"EGF-like-domain, multiple 7 [Source:ZFIN;Acc:ZDB-GENE-4429-2]",,,,,,,,,0.00444449,0.0030352,,,,,,,,,,,,
ENSAMXG00000004614,cbx6a,chromobox protein homolog 6-like [Source:NCBI gene;Acc:13389],,,,,,,,,0.00447764,0.00303888,,,,,,,,,,,,
ENSAMXG00000032713,,,,,,,,,,,0,0.00022523,,,,,,,,,,,,
ENSAMXG00000033949,,,,,,,,,,,0.00887036,0.01234894,,,,,,,,,,,,
ENSAMXG00000033940,txnrd2.2,thioredoxin reductase 2 [Source:NCBI gene;Acc:1337574],,,,,,,,,0.0030007,0.00294668,,,,,,,,,,,,
ENSAMXG00000039947,zmp:0000000912,zmp:912 [Source:ZFIN;Acc:ZDB-GENE-1353-915],,,,,,,,,0.01066736,0.01490863,,,,,,,,,,,,
ENSAMXG00000033184,zdhhc23a,zinc finger DHHC-type containing 23a [Source:ZFIN;Acc:ZDB-GENE-6526-38],,,,,,,,,0.00099721,0.00297648,,,,,,,,,,,,
ENSAMXG00000039276, ,,,,,,,,,,0.00138504,0.00296053,,,,,,,,,,,,
ENSAMXG00000036409, ,,,,,,,,,,0.02093497,0.01605278,,,,,,,,,,,,
ENSAMXG00000021613, ,schlafen family member 13-like [Source:NCBI gene;Acc:1336673],,,,,,,,,0.00666949,0.01318357,,,,,,,,,,,,
ENSAMXG00000035714,,,,,,,,,,,0.00915976,0.00960591,,,,,,,,,,,,
ENSAMXG00000036440,,,,,,,,,,,0.0070363,0.01080313,,,,,,,,,,,,
ENSAMXG00000043821,,,,,,,,,,,0.00413441,0.00709887,,,,,,,,,,,,
ENSAMXG00000034672,si:dkey-54n8.2,tumor protein p53 inducible protein 13 [Source:NCBI gene;Acc:1326197],,,,,,,,,0.00273589,0.00578035,,,,,,,,,,,,
ENSAMXG00000032016, ,,,,,,,,,,0.00372671,0.0035559,,,,,,,,,,,,
ENSAMXG00000030720,,,,,,,,,,,0.01158876,0.01214806,,,,,,,,,,,,
ENSAMXG00000003995, ,,,,,,,,,,0.00682355,0.00687741,,,,,,,,,,,,
ENSAMXG00000004003,zgc:174895,adenine phosphoribosyltransferase-like [Source:NCBI gene;Acc:132364],,,,,,,,,0.00386827,0.00356418,,,,,,,,,,,,
ENSAMXG00000032798, ,"beta-galactoside alpha-2,6-sialyltransferase 1-like [Source:NCBI gene;Acc:13336]",,,,,,,,,0.00506857,0.00154375,,,,,,,,,,,,
ENSAMXG00000040814,ins,preproinsulin [Source:NCBI gene;Acc:3262],,,,,,,,,0.00090266,0.00273248,,,,,,,,,,,,
ENSAMXG00000040826,mrps2,"28S ribosomal protein S2, mitochondrial-like [Source:NCBI gene;Acc:111188469]",,,,,,,,,0.00226046,0.00500594,,,,,,,,,,,,
ENSAMXG00000032242, ,,,,,,,,,,0.01072334,0.00427028,,,,,,,,,,,,
ENSAMXG00000030217, ,cathepsin D-like [Source:NCBI gene;Acc:133221],,,,,,,,,0.00326726,0.00288582,,,,,,,,,,,,
ENSAMXG00000017775, ,,,,,,,,,,0.00772556,0.00677232,,,,,,,,,,,,
ENSAMXG00000037354, ,,,,,,,,,,0.00322031,0.0082345,,,,,,,,,,,,
ENSAMXG00000036222, ,,,,,,,,,,0.00057659,0.00056968,,,,,,,,,,,,
ENSAMXG00000001527,,,,,,,,,,,0.00499538,0.00596898,,,,,,,,,,,,
ENSAMXG00000038763,,,,,,,,,,,0.01267012,0.00666272,,,,,,,,,,,,
ENSAMXG00000001506,,,,,,,,,,,0.02281893,0.02111391,,,,,,,,,,,,
ENSAMXG00000001500,,,,,,,,,,,0.00490955,0.00462214,,,,,,,,,,,,
ENSAMXG00000001470,,,,,,,,,,,0.00289744,0.0026835,,,,,,,,,,,,
ENSAMXG00000037038,,,,,,,,,,,0.00924154,0.00827317,,,,,,,,,,,,
ENSAMXG00000009283,,,,,,,,,,,0.01433774,0.01680972,,,,,,,,,,,,
ENSAMXG00000034942,,,,,,,,,,,0.00489314,0.00483581,,,,,,,,,,,,
ENSAMXG00000020251,,,,,,,,,,,0.00073638,0.00455585,,,,,,,,,,,,
ENSAMXG00000020314,,,,,,,,,,,0.00916233,0.00891044,,,,,,,,,,,,
ENSAMXG00000041501,,,,,,,,,,,0.01176307,0.01483617,,,,,,,,,,,,
ENSAMXG00000013446,cdc42ep1b,cdc42 effector protein 1-like [Source:NCBI gene;Acc:111188772],,,,,,,,,0.00942451,0.00911476,,,,,,,,,,,,
ENSAMXG00000030553, ,,,,,,,,,,0.00898693,0,,,,,,,,,,,,
ENSAMXG00000037788,,,,,,,,,,,0.03543459,0.03546577,,,,,,,,,,,,
ENSAMXG00000037807, ,,,,,,,,,,0.00147524,0.00289513,,,,,,,,,,,,
ENSAMXG00000010157,arhgap18,Rho GTPase activating protein 18 [Source:ZFIN;Acc:ZDB-GENE-752-1],,,,,,,,,0.00187686,0.0029249,,,,,,,,,,,,
ENSAMXG00000003127,usp16,ubiquitin specific peptidase 16 [Source:NCBI gene;Acc:13451],,,,,,,,,0.00293742,0.00296123,,,,,,,,,,,,
ENSAMXG00000008354,slc13a5b,solute carrier family 13 member 5-like [Source:NCBI gene;Acc:1322547],,,,,,,,,0.00285697,0.00329402,,,,,,,,,,,,
ENSAMXG00000018680,pear1,platelet endothelial aggregation receptor 1 [Source:NCBI gene;Acc:133659],,,,,,,,,0.00218703,0.00161661,,,,,,,,,,,,
ENSAMXG00000040890, ,,,,,,,,,,0.00262955,0.0035689,,,,,,,,,,,,
ENSAMXG00000031236, ,,,,,,,,,,0.00035628,0.00315126,,,,,,,,,,,,
ENSAMXG00000035868,twistnb,TWIST neighbor [Source:NCBI gene;Acc:42856],,,,,,,,,4.91E-05,0.00062794,,,,,,,,,,,,
ENSAMXG00000042439, ,uncharacterized LOC11119458 [Source:NCBI gene;Acc:11119458],,,,,,,,,0.00846459,0.00680838,,,,,,,,,,,,
ENSAMXG00000033191, ,chromosome unknown C11orf58 homolog [Source:NCBI gene;Acc:1324521],,,,,,,,,0.00142516,0.0011522,,,,,,,,,,,,
ENSAMXG00000042775, ,uncharacterized LOC111193496 [Source:NCBI gene;Acc:111193496],,,,,,,,,0.0048273,0.00967323,,,,,,,,,,,,
ENSAMXG00000038819, ,,,,,,,,,,0.00731126,0.00769231,,,,,,,,,,,,
ENSAMXG00000039796, ,heat shock 7 kDa protein [Source:NCBI gene;Acc:111193176],,,,,,,,,0.0025816,0.00248984,,,,,,,,,,,,
ENSAMXG00000006042,kcnk7,"potassium channel, subfamily K, member 7 [Source:ZFIN;Acc:ZDB-GENE-1134-2]",,,,,,,,,0.00619932,0.00327952,,,,,,,,,,,,
ENSAMXG00000042301,senp7b,sentrin-specific protease 7-like [Source:NCBI gene;Acc:1327137],,,,,,,,,0.00413798,0.00453039,,,,,,,,,,,,
ENSAMXG00000035512,si:dkey-74k8.3,transmembrane protein 19 [Source:NCBI gene;Acc:1335143],,,,,,,,,0.00425607,0.00479094,,,,,,,,,,,,
ENSAMXG00000025199,MYADM,myeloid-associated differentiation marker homolog [Source:NCBI gene;Acc:134733],,,,,,,,,0.0091019,0.00494858,,,,,,,,,,,,
ENSAMXG00000042667, ,,,,,,,,,,0.00544926,0.00650421,,,,,,,,,,,,
ENSAMXG00000038040,fgf6a,fibroblast growth factor 6 [Source:NCBI gene;Acc:1336267],,,,,,,,,0.00278707,0.00284244,,,,,,,,,,,,
ENSAMXG00000042410,,,,,,,,,,,0.01069614,0.0100633,,,,,,,,,,,,
ENSAMXG00000032879,,immunoglobulin heavy variable 1-3 [Source:ZFIN;Acc:ZDB-GENE-4514-7],,,,,,,,,0.00799087,0.00871485,,,,,,,,,,,,
ENSAMXG00000031410,,uncharacterized LOC111191379 [Source:NCBI gene;Acc:111191379],,,,,,,,,0.00311169,0.00629726,,,,,,,,,,,,
ENSAMXG00000040571,ppa2,inorganic pyrophosphatase 2 [Source:ZFIN;Acc:ZDB-GENE-4426-1857],,,,,,,,,0.00322618,0.0031635,,,,,,,,,,,,
ENSAMXG00000040209,,,,,,,,,,,0.01702549,0.01708141,,,,,,,,,,,,
ENSAMXG00000036314,atp8b5a,probable phospholipid-transporting ATPase IM [Source:NCBI gene;Acc:11118876],,,,,,,,,0.00489231,0.00429984,,,,,,,,,,,,
ENSAMXG00000005408,,,,,,,,,,,0.01182071,0.01036585,,,,,,,,,,,,
ENSAMXG00000038690,ccl20b,C-C motif chemokine 2-like [Source:NCBI gene;Acc:1328465],,,,,,,,,0.02026407,0.02026713,,,,,,,,,,,,
ENSAMXG00000036021,,,,,,,,,,,0.00983952,0.00814587,,,,,,,,,,,,
ENSAMXG00000041034,sc:d156,sc:d156 [Source:ZFIN;Acc:ZDB-GENE-833-5],,,,,,,,,0.03159129,0.03256699,,,,,,,,,,,,
ENSAMXG00000011529, ,protein MB21D2 [Source:NCBI gene;Acc:1325996],,,,,,,,,0.0025424,0.00417163,,,,,,,,,,,,
ENSAMXG00000038226,kbtbd3,kelch repeat and BTB domain containing 3 [Source:NCBI gene;Acc:1324529],,,,,,,,,0.00405976,0.00293866,,,,,,,,,,,,
ENSAMXG00000043069,zgc:163143,zgc:163143 [Source:ZFIN;Acc:ZDB-GENE-741-143],,,,,,,,,0.00405145,0.00387427,,,,,,,,,,,,
ENSAMXG00000040116,npdc1a,neural proliferation differentiation and control protein 1-like [Source:NCBI gene;Acc:1327713],,,,,,,,,0.00245946,0.00144691,,,,,,,,,,,,
ENSAMXG00000038591, ,,,,,,,,,,0,0,,,,,,,,,,,,
ENSAMXG00000041224,,,,,,,,,,,0.00901262,0.00788607,,,,,,,,,,,,
ENSAMXG00000035351,,,,,,,,,,,0.03364843,0.00643858,,,,,,,,,,,,
ENSAMXG00000020279,,,,,,,,,,,0.01199059,0.01281707,,,,,,,,,,,,
ENSAMXG00000031327,ptger1b,prostaglandin E receptor 1b (subtype EP1) [Source:ZFIN;Acc:ZDB-GENE-1922-278],,,,,,,,,0.00288965,0.00287926,,,,,,,,,,,,
ENSAMXG00000024490, ,,,,,,,,,,0.00292904,0.00430958,,,,,,,,,,,,
ENSAMXG00000034278,,,,,,,,,,,0.02314712,0.01893354,,,,,,,,,,,,
ENSAMXG00000035872, ,,,,,,,,,,0.00225085,0.0049842,,,,,,,,,,,,
ENSAMXG00000033826, ,,,,,,,,,,0.01279904,0.01487013,,,,,,,,,,,,
ENSAMXG00000040247, ,,,,,,,,,,0.00707115,0.00715879,,,,,,,,,,,,
ENSAMXG00000037760, ,zinc finger protein 658B-like [Source:NCBI gene;Acc:1347669],,,,,,,,,0.00618568,0.00543946,,,,,,,,,,,,
ENSAMXG00000042628,,pleckstrin homology-like domain family B member 3 [Source:NCBI gene;Acc:1342143],,,,,,,,,0.00784629,0.01024503,,,,,,,,,,,,
ENSAMXG00000035123,si:ch1073-13h15.3,si:ch173-13h15.3 [Source:ZFIN;Acc:ZDB-GENE-121214-245],,,,,,,,,0.0075904,0.00850149,,,,,,,,,,,,
ENSAMXG00000029475, ,,,,,,,,,,0.00138517,0.00159609,,,,,,,,,,,,
ENSAMXG00000039800,si:dkey-92f12.2,si:dkey-92f12.2 [Source:ZFIN;Acc:ZDB-GENE-9124-379],,,,,,,,,0.00997455,0.00696455,,,,,,,,,,,,
ENSAMXG00000032056,F2R,proteinase-activated receptor 1-like [Source:NCBI gene;Acc:1335934],,,,,,,,,0.01211868,0.0120475,,,,,,,,,,,,
ENSAMXG00000032571, ,,,,,,,,,,0.00231776,0.00319164,,,,,,,,,,,,
ENSAMXG00000041706, ,,,,,,,,,,0.00727228,0.00679157,,,,,,,,,,,,
ENSAMXG00000040170,,,,,,,,,,,0.0062276,0.00779372,,,,,,,,,,,,
ENSAMXG00000035072,,"NACHT, LRR and PYD domains-containing protein 9-like [Source:NCBI gene;Acc:111188976]",,,,,,,,,0.01751589,0.01166062,,,,,,,,,,,,
ENSAMXG00000040602,,,,,,,,,,,0.02045188,0.0202874,,,,,,,,,,,,
ENSAMXG00000013224,,,,,,,,,,,0.00087174,0.00667702,,,,,,,,,,,,
ENSAMXG00000012920,,,,,,,,,,,0.01373993,0.01106882,,,,,,,,,,,,
ENSAMXG00000036819,,cytochrome P45 2K1-like [Source:NCBI gene;Acc:133465],,,,,,,,,0.0025526,0.00372508,,,,,,,,,,,,
ENSAMXG00000033676,,,,,,,,,,,0,0,,,,,,,,,,,,
ENSAMXG00000044045,ndufaf4,NADH:ubiquinone oxidoreductase complex assembly factor 4 [Source:ZFIN;Acc:ZDB-GENE-681-114],,,,,,,,,0.00523367,0.002823,,,,,,,,,,,,
ENSAMXG00000042030,,,,,,,,,,,0.00529763,0.01093197,,,,,,,,,,,,
ENSAMXG00000040453,,,,,,,,,,,0.00385377,0.00369366,,,,,,,,,,,,
ENSAMXG00000010569, ,alpha-2-macroglobulin-like [Source:NCBI gene;Acc:13461],,,,,,,,,0.00772536,0.00787831,,,,,,,,,,,,
ENSAMXG00000033129,cd79a,"CD79a molecule, immunoglobulin-associated alpha [Source:ZFIN;Acc:ZDB-GENE-1922-21]",,,,,,,,,0.00818375,0.00628117,,,,,,,,,,,,
ENSAMXG00000036190, ,serine/threonine-protein kinase pim-1-like [Source:NCBI gene;Acc:1335777],,,,,,,,,0.0040672,0.01196208,,,,,,,,,,,,
ENSAMXG00000031305, ,,,,,,,,,,0.01045553,0.01618768,,,,,,,,,,,,
ENSAMXG00000014188, ,,,,,,,,,,0.00192164,0.00257035,,,,,,,,,,,,
ENSAMXG00000002840,si:ch1073-13h15.3,si:ch173-13h15.3 [Source:ZFIN;Acc:ZDB-GENE-121214-245],,,,,,,,,0.00526428,0.0046944,,,,,,,,,,,,
ENSAMXG00000018594,si:ch211-198n5.11,si:ch211-198n5.11 [Source:ZFIN;Acc:ZDB-GENE-5411-52],,,,,,,,,0.00564284,0.00547287,,,,,,,,,,,,
ENSAMXG00000025123, ,,,,,,,,,,0.00357218,0.00180324,,,,,,,,,,,,
ENSAMXG00000030722, ,,,,,,,,,,0.00594033,0.01098618,,,,,,,,,,,,
ENSAMXG00000005953,usp6nl,USP6 N-terminal like [Source:ZFIN;Acc:ZDB-GENE-4121-192],,,,,,,,,0.00496759,0.00232554,,,,,,,,,,,,
ENSAMXG00000016023, ,,,,,,,,,,0.00605823,0.00465946,,,,,,,,,,,,
ENSAMXG00000043990, ,,,,,,,,,,0.01505281,0.01275519,,,,,,,,,,,,
ENSAMXG00000039624,sema4aa,semaphorin-4A-like [Source:NCBI gene;Acc:1329682],,,,,,,,,0.00518923,0.00483313,,,,,,,,,,,,
ENSAMXG00000001826, ,,,,,,,,,,0.00637181,0.00250826,,,,,,,,,,,,
ENSAMXG00000030626, ,,,,,,,,,,0.00480704,0.00614216,,,,,,,,,,,,
ENSAMXG00000030379, ,complement factor H-like [Source:NCBI gene;Acc:1337523],,,,,,,,,0.00511664,0.00515319,,,,,,,,,,,,
ENSAMXG00000032512, ,,,,,,,,,,0.00696157,0.00911007,,,,,,,,,,,,
ENSAMXG00000040053, ,,,,,,,,,,0.0051073,0.00563707,,,,,,,,,,,,
ENSAMXG00000038338, ,,,,,,,,,,0.00629341,0.00899099,,,,,,,,,,,,
ENSAMXG00000001968, ,coagulation factor XIII B chain-like [Source:NCBI gene;Acc:1322771],,,,,,,,,0.0058366,0.00505287,,,,,,,,,,,,
ENSAMXG00000019667,hephl1a,hephaestin-like 1a [Source:ZFIN;Acc:ZDB-GENE-781-4],,,,,,,,,0.01713401,0.01739603,,,,,,,,,,,,
ENSAMXG00000041957, ,,,,,,,,,,0.00575966,0.0049148,,,,,,,,,,,,
ENSAMXG00000025730, ,trace amine-associated receptor 13c-like [Source:NCBI gene;Acc:17197516],,,,,,,,,0.00727292,0.00857512,,,,,,,,,,,,
ENSAMXG00000037101,zgc:113625,GTPase IMAP family member 4-like [Source:NCBI gene;Acc:1331911],,,,,,,,,0.02061872,0.0204049,,,,,,,,,,,,
ENSAMXG00000006342, ,uncharacterized LOC133369 [Source:NCBI gene;Acc:133369],,,,,,,,,0.01396517,0.01005729,,,,,,,,,,,,
ENSAMXG00000035755,cxcl8a,interleukin-8-like [Source:NCBI gene;Acc:1326712],,,,,,,,,0.01045515,0.0097271,,,,,,,,,,,,
ENSAMXG00000029385,clta,clathrin light chain A [Source:NCBI gene;Acc:1324617],,,,,,,,,0.0050941,0.00212266,,,,,,,,,,,,
ENSAMXG00000025803,jac3,jacalin 3 [Source:ZFIN;Acc:ZDB-GENE-16114-66],,,,,,,,,0.02075986,0.02353241,,,,,,,,,,,,
ENSAMXG00000041667, ,"myosin heavy chain, fast skeletal muscle-like [Source:NCBI gene;Acc:1337429]",,,,,,,,,0.00430361,0.0047447,,,,,,,,,,,,
ENSAMXG00000040620, ,,,,,,,,,,0.01005639,0.0106203,,,,,,,,,,,,
ENSAMXG00000033055, ,,,,,,,,,,0.00031706,0,,,,,,,,,,,,
ENSAMXG00000042252, ,monocyte chemotactic protein 1B-like [Source:NCBI gene;Acc:111195825],,,,,,,,,0.05441235,0.05131579,,,,,,,,,,,,
ENSAMXG00000032754, ,,,,,,,,,,0.01883497,0.02367282,,,,,,,,,,,,
ENSAMXG00000011535, ,,,,,,,,,,0.01125305,0.01050605,,,,,,,,,,,,
ENSAMXG00000033662, ,,,,,,,,,,0.01843083,0.01545999,,,,,,,,,,,,
ENSAMXG00000034156, ,,,,,,,,,,0.03855655,0.03217435,,,,,,,,,,,,
ENSAMXG00000043408, ,,,,,,,,,,0.0340826,0.02585341,,,,,,,,,,,,
ENSAMXG00000041751,,,,,,,,,,,0.00676229,0.00836968,,,,,,,,,,,,
ENSAMXG00000029986,,,,,,,,,,,0.01322751,0.01510721,,,,,,,,,,,,
ENSAMXG00000030436,,,,,,,,,,,0.01056421,0.00959657,,,,,,,,,,,,
ENSAMXG00000041069,,,,,,,,,,,0.01949517,0.01860544,,,,,,,,,,,,
ENSAMXG00000041081,,,,,,,,,,,0.00190929,0.00212563,,,,,,,,,,,,
ENSAMXG00000037759,,,,,,,,,,,0.00407075,0.00576361,,,,,,,,,,,,
ENSAMXG00000007061,si:dkey-228l14.1,si:dkey-228l14.1 [Source:ZFIN;Acc:ZDB-GENE-9312-27],,,,,,,,,0.00671853,0.00661727,,,,,,,,,,,,
ENSAMXG00000037199,,,,,,,,,,,0.00746799,0.01023132,,,,,,,,,,,,
ENSAMXG00000029046,,,,,,,,,,,0.02624446,0.01672618,,,,,,,,,,,,
ENSAMXG00000008793,,nectin-4-like [Source:NCBI gene;Acc:1344451],,,,,,,,,0.01905062,0.01799196,,,,,,,,,,,,
ENSAMXG00000011862,,,,,,,,,,,0.01613585,0.01498796,,,,,,,,,,,,
ENSAMXG00000030413,,,,,,,,,,,0.01547763,0.01761178,,,,,,,,,,,,
ENSAMXG00000034382,,,,,,,,,,,0.00248247,0.00192293,,,,,,,,,,,,
ENSAMXG00000030168,,,,,,,,,,,0.00496874,0.00806652,,,,,,,,,,,,
ENSAMXG00000020138,,,,,,,,,,,0.01859407,0.01890658,,,,,,,,,,,,
ENSAMXG00000029453,,,,,,,,,,,0.00232345,0.00513028,,,,,,,,,,,,
ENSAMXG00000041768,,E3 ubiquitin-protein ligase TRIM39-like [Source:NCBI gene;Acc:132595],,,,,,,,,0.00838382,0.00986907,,,,,,,,,,,,
ENSAMXG00000007171,,,,,,,,,,,0.01790601,0.01329208,,,,,,,,,,,,
ENSAMXG00000030642,,,,,,,,,,,0.02598408,0.00546218,,,,,,,,,,,,
ENSAMXG00000019857,,,,,,,,,,,0.01281378,0.0079644,,,,,,,,,,,,
ENSAMXG00000006599,cdcp2,CUB domain containing protein 2 [Source:NCBI gene;Acc:133915],,,,,,,,,0.00918932,0.00673128,,,,,,,,,,,,
ENSAMXG00000008658,si:dkey-54n8.4,si:dkey-54n8.4 [Source:ZFIN;Acc:ZDB-GENE-131121-541],,,,,,,,,0,0.00152027,,,,,,,,,,,,
ENSAMXG00000039782,abhd15a,protein ABHD15-like [Source:NCBI gene;Acc:1333293],,,,,,,,,0.00127302,0.00283692,,,,,,,,,,,,
ENSAMXG00000035468, ,,,,,,,,,,0.00436205,0.00436205,,,,,,,,,,,,
ENSAMXG00000030650,si:ch211-197h24.9,si:ch211-197h24.9 [Source:ZFIN;Acc:ZDB-GENE-31116-15],,,,,,,,,0.00231152,0.00199824,,,,,,,,,,,,
ENSAMXG00000019819,si:ch73-106g13.1,si:ch73-16g13.1 [Source:ZFIN;Acc:ZDB-GENE-1148-58],,,,,,,,,0.00548529,0.00205762,,,,,,,,,,,,
ENSAMXG00000030715, ,,,,,,,,,,0.00198462,0.00522972,,,,,,,,,,,,
ENSAMXG00000007167, ,,,,,,,,,,0.00250437,0.00550415,,,,,,,,,,,,
ENSAMXG00000001878,,,,,,,,,,,0.00950444,0.01008362,,,,,,,,,,,,
ENSAMXG00000033672,,,,,,,,,,,0.0116506,0.01278001,,,,,,,,,,,,
ENSAMXG00000036725, ,stonustoxin subunit beta-like [Source:NCBI gene;Acc:111196386],,,,,,,,,0.00345293,0.00309231,,,,,,,,,,,,
ENSAMXG00000041013,olfcb1,"olfactory receptor C family, b1 [Source:ZFIN;Acc:ZDB-GENE-3131-2664]",,,,,,,,,0.00584379,0.00631096,,,,,,,,,,,,
