"","Gene_stable_ID","Gene_name","Comparison","logFC","PValue","study_specific_gene_details","Condition","Publication"
"57","ENSAMXG00000016643","inpp5kb","Molino-Rio Choy",9.035275853,4.08e-118,"Arrhythmic","Between morph","Mack_et_al_2020"
"61","ENSAMXG00000013809","nfs1","Molino-Rio Choy",-1.446991982,9.31e-113,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"66","ENSAMXG00000012077","C1QL1 (2 of 2)","Molino-Rio Choy",3.190370964,3.12e-105,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"70","ENSAMXG00000013074","brox","Molino-Rio Choy",1.893218553,1.29e-99,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"73","ENSAMXG00000014381","gngt1","Molino-Rio Choy",4.55747157,3.01e-99,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"74","ENSAMXG00000000587","sqor","Molino-Rio Choy",1.370112171,9.42e-99,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"75","ENSAMXG00000016819","scinla","Molino-Rio Choy",2.004160845,1.24e-97,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"77","ENSAMXG00000017118","hdac6","Molino-Rio Choy",2.261605468,5.31e-97,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"79","ENSAMXG00000012991","vdrb","Molino-Rio Choy",8.218654283,2.74e-93,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"82","ENSAMXG00000001577","crx","Molino-Rio Choy",2.478702966,6.46e-90,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"83","ENSAMXG00000009106","cbln8","Molino-Rio Choy",4.352856692,4.73e-89,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"87","ENSAMXG00000001892","dct","Molino-Rio Choy",1.7775071,1.3e-87,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"88","ENSAMXG00000007625","slc25a3a","Molino-Rio Choy",5.603222825,5.06e-86,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"97","ENSAMXG00000001634","pfkmb","Molino-Rio Choy",2.25387118,1.15e-80,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"104","ENSAMXG00000018516","arl3l2","Molino-Rio Choy",6.506459794,1.27e-78,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"109","ENSAMXG00000003123","dync2li1","Molino-Rio Choy",-2.118951183,7.91e-77,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"110","ENSAMXG00000012225","cdhr1a","Molino-Rio Choy",3.84413881,1.02e-76,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"111","ENSAMXG00000021619","tyrp1a","Molino-Rio Choy",1.796389904,2.02e-76,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"113","ENSAMXG00000000319","mapkbp1","Molino-Rio Choy",1.780305521,9.25e-76,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"118","ENSAMXG00000016436","dpys","Molino-Rio Choy",1.813359984,3.44e-73,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"120","ENSAMXG00000020186","pygma","Molino-Rio Choy",1.845850572,3.45e-72,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"121","ENSAMXG00000010826","nrl","Molino-Rio Choy",6.956621896,8.23e-72,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"123","ENSAMXG00000025521","ackr3b","Molino-Rio Choy",2.921023708,8.06e-71,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"127","ENSAMXG00000002166","lgsn","Molino-Rio Choy",8.023459476,8.2e-70,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"132","ENSAMXG00000003062","grik1b","Molino-Rio Choy",3.69135603,7.01e-69,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"134","ENSAMXG00000010160","ctsl.1","Molino-Rio Choy",3.430616374,1.73e-68,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"137","ENSAMXG00000011349","c9orf64","Molino-Rio Choy",-1.974382753,3.15e-67,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"139","ENSAMXG00000017827","nudt9","Molino-Rio Choy",2.438251741,1.56e-66,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"141","ENSAMXG00000014218","cnga1b","Molino-Rio Choy",6.027354718,7.4e-66,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"144","ENSAMXG00000005619","mblac1","Molino-Rio Choy",2.27357097,3.69e-64,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"147","ENSAMXG00000002538","nubp1","Molino-Rio Choy",-1.183337087,3.17e-63,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"156","ENSAMXG00000021489","sv2ba","Molino-Rio Choy",4.094469403,2.67e-60,"Arrhythmic","Between morph","Mack_et_al_2020"
"158","ENSAMXG00000004323","rgrb","Molino-Rio Choy",6.282875947,3.38e-60,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"159","ENSAMXG00000006107","cyp27a1.2","Molino-Rio Choy",3.505590652,9.67e-60,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"160","ENSAMXG00000009947","si:dkey-88l16.3","Molino-Rio Choy",-6.509981425,9.55e-59,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"161","ENSAMXG00000007423","fkbp16","Molino-Rio Choy",2.51582833,1.16e-58,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"166","ENSAMXG00000002217","eno1b","Molino-Rio Choy",1.596039331,7.34e-58,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"167","ENSAMXG00000016267","calua","Molino-Rio Choy",-1.677626414,8.29e-58,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"169","ENSAMXG00000016835","rdh8","Molino-Rio Choy",5.527151083,1.33e-57,"Arrhythmic","Between morph","Mack_et_al_2020"
"170","ENSAMXG00000024779","slc2a5","Molino-Rio Choy",2.434823741,1.96e-57,"Arrhythmic","Between morph","Mack_et_al_2020"
"171","ENSAMXG00000002915","lctlb","Molino-Rio Choy",2.834051184,6.54e-57,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"177","ENSAMXG00000001157","pde6g","Molino-Rio Choy",6.138183553,2.49e-55,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"180","ENSAMXG00000025640","gja8b","Molino-Rio Choy",5.405298045,8.04e-55,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"181","ENSAMXG00000020637","orai1b","Molino-Rio Choy",-1.76593274,2.36e-54,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"182","ENSAMXG00000016285","npvf","Molino-Rio Choy",-2.357585666,2.85e-54,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"185","ENSAMXG00000004026","calub","Molino-Rio Choy",-2.397561209,9.55e-54,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"188","ENSAMXG00000006476","si:dkey-206f10.1","Molino-Rio Choy",4.546639392,1.67e-53,"Arrhythmic","Between morph","Mack_et_al_2020"
"190","ENSAMXG00000020921","opn6a","Molino-Rio Choy",4.240856445,1.44e-52,"Arrhythmic","Between morph","Mack_et_al_2020"
"191","ENSAMXG00000002756","ugp2a","Molino-Rio Choy",1.419203441,2.38e-52,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"192","ENSAMXG00000009418","atp2b1b","Molino-Rio Choy",2.784954944,2.93e-52,"Arrhythmic","Between morph","Mack_et_al_2020"
"193","ENSAMXG00000017584","rrh","Molino-Rio Choy",1.92808667,4.28e-52,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"197","ENSAMXG00000013039","cfap43","Molino-Rio Choy",-6.198769001,7.24e-52,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"198","ENSAMXG00000010673","pde6a","Molino-Rio Choy",5.054617858,1.13e-51,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"201","ENSAMXG00000006095","pmela","Molino-Rio Choy",1.36417048,2.89e-51,"Arrhythmic","Between morph","Mack_et_al_2020"
"210","ENSAMXG00000025847","si:zfos-169g10.2","Molino-Rio Choy",-2.635736715,3.99e-49,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"214","ENSAMXG00000000583","ctdspl2a","Molino-Rio Choy",-1.065372053,7.67e-49,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"219","ENSAMXG00000026481","neurod4","Molino-Rio Choy",2.09871763,3.88e-48,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"220","ENSAMXG00000008748","tyr","Molino-Rio Choy",2.167943264,4.13e-48,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"221","ENSAMXG00000026346","rho","Molino-Rio Choy",5.730047172,8.3e-48,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"239","ENSAMXG00000007822","plcxd2","Molino-Rio Choy",6.858121546,1.45e-45,"Arrhythmic","Between morph","Mack_et_al_2020"
"244","ENSAMXG00000000542","gys1","Molino-Rio Choy",0.998931997,8.44e-45,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"250","ENSAMXG00000000400","rwdd3","Molino-Rio Choy",5.2546211,9.22e-44,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"252","ENSAMXG00000012319","ampd1","Molino-Rio Choy",2.357665535,1.31e-43,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"253","ENSAMXG00000017664","uchl5","Molino-Rio Choy",-1.540841588,1.35e-43,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"254","ENSAMXG00000024736","rnpep","Molino-Rio Choy",-1.074441128,1.42e-43,"Arrhythmic","Between morph","Mack_et_al_2020"
"255","ENSAMXG00000024894","rhol","Molino-Rio Choy",5.160265661,1.56e-43,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"257","ENSAMXG00000003013","si:dkeyp-44a8.2","Molino-Rio Choy",1.415712954,2.1e-43,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"259","ENSAMXG00000018789","srl","Molino-Rio Choy",1.115990582,5.1e-43,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"262","ENSAMXG00000006204","igsf9b","Molino-Rio Choy",3.409463086,7.24e-43,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"263","ENSAMXG00000012893","pter","Molino-Rio Choy",0.88662521,1.5e-42,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"270","ENSAMXG00000020116","CKMT2 (1 of many)","Molino-Rio Choy",3.587287175,5.88e-42,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"271","ENSAMXG00000009425","cabp2a","Molino-Rio Choy",5.428840982,7.71e-42,"Arrhythmic","Between morph","Mack_et_al_2020"
"273","ENSAMXG00000017869","hexa","Molino-Rio Choy",1.482974318,1.26e-41,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"282","ENSAMXG00000019058","abhd8b","Molino-Rio Choy",1.931666827,5.55e-40,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"286","ENSAMXG00000010045","si:ch211-81a5.8","Molino-Rio Choy",4.754583885,1.24e-39,"Arrhythmic","Between morph","Mack_et_al_2020"
"289","ENSAMXG00000007577","ppdpfa","Molino-Rio Choy",1.333039944,2.39e-39,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"290","ENSAMXG00000025763","senp8","Molino-Rio Choy",-1.829820257,2.95e-39,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"294","ENSAMXG00000002838","mab21l3","Molino-Rio Choy",7.362489988,7.13e-39,"Arrhythmic","Between morph","Mack_et_al_2020"
"296","ENSAMXG00000021100","tc2n","Molino-Rio Choy",-2.254302819,1.44e-38,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"299","ENSAMXG00000011994","FGA","Molino-Rio Choy",-2.218504752,2.42e-38,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"301","ENSAMXG00000009232","mylz3","Molino-Rio Choy",1.322165565,4.93e-38,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"303","ENSAMXG00000005308","cyp2ad6","Molino-Rio Choy",2.352741214,5e-38,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"304","ENSAMXG00000008672","cox6a2","Molino-Rio Choy",-1.401095155,5.96e-38,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"307","ENSAMXG00000016793","si:dkey-7k24.5","Molino-Rio Choy",5.764587375,8.25e-38,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"308","ENSAMXG00000011989","MFAP4 (1 of many)","Molino-Rio Choy",5.625266227,1.13e-37,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"311","ENSAMXG00000007206","rhbdl1","Molino-Rio Choy",-1.867029594,1.88e-37,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"313","ENSAMXG00000012428","si:dkey-283b15.2","Molino-Rio Choy",5.525517394,2.17e-37,"Arrhythmic","Between morph","Mack_et_al_2020"
"318","ENSAMXG00000006391","elavl1b","Molino-Rio Choy",-2.067311405,6.26e-37,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"320","ENSAMXG00000017293","wdcp","Molino-Rio Choy",1.326757481,1e-36,"Arrhythmic","Between morph","Mack_et_al_2020"
"321","ENSAMXG00000013000","dnajc22","Molino-Rio Choy",-1.680882227,1.74e-36,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"323","ENSAMXG00000000731","impdh1a","Molino-Rio Choy",1.944801158,2.81e-36,"Arrhythmic","Between morph","Mack_et_al_2020"
"330","ENSAMXG00000011754","si:dkey-84k17.2","Molino-Rio Choy",-1.832903455,1.06e-35,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"339","ENSAMXG00000013008","pax6a","Molino-Rio Choy",1.555470357,4.67e-35,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"348","ENSAMXG00000005624","slc6a1l","Molino-Rio Choy",2.068119027,2.21e-34,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"349","ENSAMXG00000011762","zgc:77439","Molino-Rio Choy",1.473313011,2.74e-34,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"353","ENSAMXG00000020865","pfklb","Molino-Rio Choy",1.581695415,4.36e-34,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"354","ENSAMXG00000009366","unc93b1","Molino-Rio Choy",1.315424606,5.68e-34,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"355","ENSAMXG00000020621","calb2a","Molino-Rio Choy",1.314032697,5.68e-34,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"361","ENSAMXG00000010161","cbln20","Molino-Rio Choy",-1.401573877,1.38e-33,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"365","ENSAMXG00000006082","guca1a","Molino-Rio Choy",6.456496014,2.24e-33,"Arrhythmic","Between morph","Mack_et_al_2020"
"367","ENSAMXG00000017607","birc7","Molino-Rio Choy",1.319878984,2.35e-33,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"368","ENSAMXG00000004600","lactbl1b","Molino-Rio Choy",3.462130622,2.38e-33,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"370","ENSAMXG00000013352","gc2","Molino-Rio Choy",5.415357616,2.61e-33,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"372","ENSAMXG00000004636","si:rp71-39b20.4","Molino-Rio Choy",4.751733715,3.83e-33,"Arrhythmic","Between morph","Mack_et_al_2020"
"374","ENSAMXG00000017884","stra6","Molino-Rio Choy",1.448409038,6.44e-33,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"380","ENSAMXG00000024947","si:dkey-160o24.3","Molino-Rio Choy",2.188864224,1.56e-32,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"384","ENSAMXG00000026328","si:ch1073-469d17.2","Molino-Rio Choy",3.850335354,4.46e-32,"Arrhythmic","Between morph","Mack_et_al_2020"
"385","ENSAMXG00000003543","hsdl2","Molino-Rio Choy",-1.236139659,4.91e-32,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"389","ENSAMXG00000000290","pde6b","Molino-Rio Choy",6.818398372,7.42e-32,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"391","ENSAMXG00000016552","slc43a2b","Molino-Rio Choy",1.271561929,7.62e-32,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"398","ENSAMXG00000015800","spic","Molino-Rio Choy",-1.063224068,2.43e-31,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"399","ENSAMXG00000020313","atp2a1l","Molino-Rio Choy",1.637482193,2.93e-31,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"402","ENSAMXG00000018292","klhl10","Molino-Rio Choy",-6.35497517,4.36e-31,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"405","ENSAMXG00000018575","pm20d1.2","Molino-Rio Choy",1.040493165,5.48e-31,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"406","ENSAMXG00000024286","actr3","Molino-Rio Choy",-1.276383076,6.62e-31,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"409","ENSAMXG00000000724","gje1","Molino-Rio Choy",6.580288532,1.51e-30,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"410","ENSAMXG00000025749","kcnj2b","Molino-Rio Choy",5.571449894,2.11e-30,"Arrhythmic","Between morph","Mack_et_al_2020"
"414","ENSAMXG00000018435","grk7a","Molino-Rio Choy",5.688782451,3.25e-30,"Arrhythmic","Between morph","Mack_et_al_2020"
"418","ENSAMXG00000017634","stxbp4","Molino-Rio Choy",-1.715274359,3.41e-30,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"419","ENSAMXG00000011446","pde6ha","Molino-Rio Choy",7.832324565,3.88e-30,"Arrhythmic","Between morph","Mack_et_al_2020"
"420","ENSAMXG00000016816","ttll4","Molino-Rio Choy",1.327864211,4.45e-30,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"421","ENSAMXG00000013435","gfm1","Molino-Rio Choy",-0.599728054,4.91e-30,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"423","ENSAMXG00000001286","camk1gb","Molino-Rio Choy",3.008489867,5.4e-30,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"425","ENSAMXG00000020870","cabp5a","Molino-Rio Choy",5.855971754,5.76e-30,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"432","ENSAMXG00000009153","dqx1","Molino-Rio Choy",0.663428397,1.23e-29,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"434","ENSAMXG00000008668","PPEF2","Molino-Rio Choy",4.713773988,1.26e-29,"Arrhythmic","Between morph","Mack_et_al_2020"
"435","ENSAMXG00000005554","pard3bb","Molino-Rio Choy",4.096394492,1.34e-29,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"437","ENSAMXG00000006302","cbx5","Molino-Rio Choy",-1.38029301,1.51e-29,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"438","ENSAMXG00000011545","crtac1a","Molino-Rio Choy",-1.560291932,1.68e-29,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"439","ENSAMXG00000002144","MAL (2 of 3)","Molino-Rio Choy",1.040165237,1.75e-29,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"440","ENSAMXG00000018719","hars","Molino-Rio Choy",0.987206764,1.97e-29,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"441","ENSAMXG00000016404","oxr1b","Molino-Rio Choy",0.794543846,2.07e-29,"Arrhythmic","Between morph","Mack_et_al_2020"
"444","ENSAMXG00000008046","cbsa","Molino-Rio Choy",2.045820071,3.18e-29,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"445","ENSAMXG00000018815","abca12","Molino-Rio Choy",2.114058024,3.62e-29,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"446","ENSAMXG00000014608","habp2","Molino-Rio Choy",1.255680535,4.21e-29,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"450","ENSAMXG00000001694","myl6","Molino-Rio Choy",-1.267730331,8.33e-29,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"454","ENSAMXG00000001989","cacna2d4b","Molino-Rio Choy",3.242197003,1.2e-28,"Arrhythmic","Between morph","Mack_et_al_2020"
"460","ENSAMXG00000006843","nop16","Molino-Rio Choy",-1.622540618,2.03e-28,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"462","ENSAMXG00000017558","CHCHD5","Molino-Rio Choy",-1.24800794,2.56e-28,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"465","ENSAMXG00000003145","antxr1c","Molino-Rio Choy",1.458615761,3.2e-28,"Arrhythmic","Between morph","Mack_et_al_2020"
"467","ENSAMXG00000014359","stxbp5a","Molino-Rio Choy",-2.03219075,3.68e-28,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"468","ENSAMXG00000004884","nt5m","Molino-Rio Choy",0.915303349,3.69e-28,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"473","ENSAMXG00000015539","hdac10","Molino-Rio Choy",1.335850521,5.56e-28,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"477","ENSAMXG00000006007","lipg","Molino-Rio Choy",-1.7226228,6.12e-28,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"481","ENSAMXG00000016099","lrrc17","Molino-Rio Choy",-0.926242688,7.9e-28,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"483","ENSAMXG00000025628","opn4.1","Molino-Rio Choy",3.564479178,1e-27,"Arrhythmic","Between morph","Mack_et_al_2020"
"484","ENSAMXG00000011214","FAM8A1 (1 of 2)","Molino-Rio Choy",0.732364906,1.04e-27,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"490","ENSAMXG00000005239","guk1b","Molino-Rio Choy",2.587713763,1.38e-27,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"492","ENSAMXG00000016815","gpd1a","Molino-Rio Choy",1.111572276,1.53e-27,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"493","ENSAMXG00000014273","grna","Molino-Rio Choy",-1.467021532,1.91e-27,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"497","ENSAMXG00000018940","reep6","Molino-Rio Choy",4.115715626,2.64e-27,"Arrhythmic","Between morph","Mack_et_al_2020"
"507","ENSAMXG00000019126","eif4a2","Molino-Rio Choy",1.362009637,7.33e-27,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"510","ENSAMXG00000002204","hspe1","Molino-Rio Choy",-1.771161118,8.21e-27,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"514","ENSAMXG00000000120","f3a","Molino-Rio Choy",-0.71804361,9.42e-27,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"515","ENSAMXG00000011843","agr2","Molino-Rio Choy",-1.615478424,1.27e-26,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"522","ENSAMXG00000003870","lyve1b","Molino-Rio Choy",-1.006807755,1.84e-26,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"523","ENSAMXG00000011659","vsx2","Molino-Rio Choy",1.850890433,1.94e-26,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"528","ENSAMXG00000006192","es1","Molino-Rio Choy",4.185872026,3.62e-26,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"529","ENSAMXG00000018321","zgc:162608","Molino-Rio Choy",-2.864356952,4.61e-26,"Arrhythmic","Between morph","Mack_et_al_2020"
"537","ENSAMXG00000003462","slc15a2","Molino-Rio Choy",1.103263576,1.02e-25,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"538","ENSAMXG00000019241","si:ch211-13f8.1","Molino-Rio Choy",5.661505546,1.13e-25,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"540","ENSAMXG00000004926","pde6c","Molino-Rio Choy",4.604335751,1.29e-25,"Arrhythmic","Between morph","Mack_et_al_2020"
"541","ENSAMXG00000015276","uba1","Molino-Rio Choy",-0.940386858,1.32e-25,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"544","ENSAMXG00000008675","grik1a","Molino-Rio Choy",5.571259435,1.79e-25,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"552","ENSAMXG00000015087","gabrd","Molino-Rio Choy",3.647024205,4.16e-25,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"554","ENSAMXG00000011526","sqstm1","Molino-Rio Choy",0.791489739,5.47e-25,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"555","ENSAMXG00000020349","ppm1na","Molino-Rio Choy",5.896943137,6.17e-25,"Arrhythmic","Between morph","Mack_et_al_2020"
"556","ENSAMXG00000009933","cdh5","Molino-Rio Choy",2.1738598,6.59e-25,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"557","ENSAMXG00000001334","aqp3b","Molino-Rio Choy",4.604329751,9.36e-25,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
