Gene_stable_ID,Comparison,logFC,PValue,Gene_name,Gene_description,Ensembl_Family_Description,Condition,Publication,Age_at_Sampling,Tissue
ENSAMXG00000001349,Pachon-Control,-1.09747518,0.00011731,,,MEIOTIC NUCLEAR DIVISION 1 HOMOLOG,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000007057,Pachon-Control,-1.09379405,2.33E-05,gpx7,glutathione peroxidase 7 [Source:NCBI gene;Acc:103032783],GLUTATHIONE PEROXIDASE 7 PRECURSOR GPX 7 GSHPX 7 EC_1.11.1.9,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000010498,Pachon-Control,-1.093440754,1.62E-05,nsl1,"NSL1, MIS12 kinetochore complex component [Source:NCBI gene;Acc:103024429]",KINETOCHORE ASSOCIATED NSL1 HOMOLOG,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000018791,Pachon-Control,-1.092913195,0.000296315,ctss2.1,cathepsin S [Source:NCBI gene;Acc:103044830],CATHEPSIN S PRECURSOR EC_3.4.22.27,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000002149,Pachon-Control,-1.089581276,3.41E-05,acat2,acetyl-CoA acetyltransferase 2 [Source:NCBI gene;Acc:103038320],3 KETOACYL COA THIOLASE EC_2.3.1.16 ACETYL COA ACYLTRANSFERASE BETA KETOTHIOLASE,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000000862,Pachon-Control,-1.070097373,0.000154229,si:ch73-340m8.2,si:ch73-340m8.2 [Source:ZFIN;Acc:ZDB-GENE-110411-209],TYROSINE KINASE EC_2.7.10.2,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000021502,Pachon-Control,-1.067972115,1.38E-05,cenpi,centromere protein I [Source:ZFIN;Acc:ZDB-GENE-060810-127],CENTROMERE I CENP I FSH PRIMARY RESPONSE 1 FOLLICLE STIMULATING HORMONE PRIMARY RESPONSE LEUCINE RICH PRIMARY RESPONSE 1,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000003900,Pachon-Control,-1.065422187,8.92E-05,tnni1c,"troponin I, slow skeletal muscle-like [Source:NCBI gene;Acc:103045935]",TROPONIN I MUSCLE TROPONIN I,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000006707,Pachon-Control,-1.063697613,8.71E-05,,,DUAL SPECIFICITY PHOSPHATASE EC_3.1.3.16 EC_3.1.3.- 48,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016651,Pachon-Control,-1.059797678,3.36E-06,colgalt2,collagen beta(1-O)galactosyltransferase 2 [Source:ZFIN;Acc:ZDB-GENE-070222-1],PROCOLLAGEN LYSINE 2 OXOGLUTARATE 5 DIOXYGENASE PRECURSOR EC_1.14.11.4 LYSYL HYDROXYLASE,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000001736,Pachon-Control,-1.045132713,2.08E-05,zc3h12a,endoribonuclease ZC3H12A [Source:NCBI gene;Acc:103030977],ENDORIBONUCLEASE Z A EC_3.1.-.- MONOCYTE CHEMOTACTIC INDUCED 1 MCP INDUCED 1 MCPIP 1 REGNASE 1 REG1 ZINC FINGER CCCH DOMAIN CONTAINING 12A,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011637,Pachon-Control,-1.020904602,2.52E-05,si:dkey-170l10.1,HAUS augmin like complex subunit 2 [Source:NCBI gene;Acc:103033970],HAUS AUGMIN  COMPLEX SUBUNIT 2 CENTROSOMAL OF 27 KDA CEP27,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016901,Pachon-Control,-0.988401433,0.000126302,cthrc1a,collagen triple helix repeat containing 1 [Source:NCBI gene;Acc:103022694],COLLAGEN TRIPLE HELIX REPEAT CONTAINING 1 PRECURSOR,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000017812,Pachon-Control,-0.978618525,0.000149119,mad2l1,MAD2 mitotic arrest deficient-like 1 (yeast) [Source:ZFIN;Acc:ZDB-GENE-030515-3],MITOTIC SPINDLE ASSEMBLY CHECKPOINT MAD2B MITOTIC ARREST DEFICIENT 2  2 MAD2  2,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000008840,Pachon-Control,-0.971768105,7.08E-05,srsf3b,serine and arginine rich splicing factor 3 [Source:NCBI gene;Acc:103046708],SERINE/ARGININE RICH SPLICING FACTOR SPLICING FACTOR ARGININE/SERINE RICH,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000020592,Pachon-Control,-0.970515082,6.33E-05,,platelet-derived growth factor receptor-like protein [Source:NCBI gene;Acc:103021672],PLATELET DERIVED GROWTH FACTOR RECEPTOR  PRECURSOR PDGFR,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000009134,Pachon-Control,-0.965430115,8.58E-05,cdca5,cell division cycle associated 5 [Source:NCBI gene;Acc:103041892],SORORIN CELL DIVISION CYCLE ASSOCIATED 5,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000020548,Pachon-Control,-0.964262492,1.34E-05,crtap,cartilage associated protein [Source:NCBI gene;Acc:103030436],ENDOPLASMIC RETICULUM SC65 PRECURSOR LEPRECAN  4 PROLYL 3 HYDROXYLASE FAMILY MEMBER 4 SYNAPTONEMAL COMPLEX SC65,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000010314,Pachon-Control,-0.955941184,0.000134746,myl13,"myosin light chain 1, cardiac muscle-like [Source:NCBI gene;Acc:103030419]",MYOSIN LIGHT CHAIN MYOSIN LIGHT CHAIN MYOSIN LIGHT CHAIN,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000013672,Pachon-Control,-0.948112953,4.67E-05,rad51,RAD51 recombinase [Source:NCBI gene;Acc:103041530],DNA REPAIR RAD51,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000008846,Pachon-Control,-0.936751348,0.000206992,apobec2a,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2a [Source:ZFIN;Acc:ZDB-GENE-050306-15]",C >U EDITING ENZYME APOBEC 2 EC_3.5.4.36 CYTOSINE DEAMINASE 2,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000013148,Pachon-Control,-0.936459191,0.000104115,,,TUBULIN ALPHA 4A CHAIN ALPHA TUBULIN TUBULIN ALPHA CHAIN,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000018664,Pachon-Control,-0.920727187,0.000386447,tuba8l,tubulin alpha-1 chain [Source:NCBI gene;Acc:103031418],TUBULIN ALPHA CHAIN ALPHA TUBULIN TUBULIN ALPHA CHAIN [CONTAINS DETYROSINATED TUBULIN ALPHA CHAIN],Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000018786,Pachon-Control,-0.915011509,7.82E-05,ctsk,cathepsin K [Source:NCBI gene;Acc:103044235],CATHEPSIN K PRECURSOR EC_3.4.22.38,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000005460,Pachon-Control,-0.890367218,0.00023726,tubb2b,tubulin beta-1 chain [Source:NCBI gene;Acc:103024866],TUBULIN BETA CHAIN BETA TUBULIN,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000017062,Pachon-Control,-0.865791357,4.34E-07,TMCC1 (1 of many),transmembrane and coiled-coil domain family 1 [Source:NCBI gene;Acc:103027055],TRANSMEMBRANE AND COILED COIL DOMAINS 1,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000005898,Pachon-Control,-0.844171717,1.74E-06,slc7a3a,cationic amino acid transporter 3 [Source:NCBI gene;Acc:103034170],CATIONIC AMINO ACID TRANSPORTER 3 CAT 3 CAT3 CATIONIC AMINO ACID TRANSPORTER Y+ SOLUTE CARRIER FAMILY 7 MEMBER 3,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000019432,Pachon-Control,-0.839776572,0.000365303,psma8,proteasome subunit alpha type-7 [Source:NCBI gene;Acc:103029839],PROTEASOME SUBUNIT ALPHA TYPE EC_3.4.25.1,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000021619,Pachon-Control,-0.835730474,0.000229797,tyrp1a,tyrosinase-related protein 1a [Source:ZFIN;Acc:ZDB-GENE-070718-2],5 6 DIHYDROXYINDOLE 2 CARBOXYLIC ACID OXIDASE PRECURSOR DHICA OXIDASE EC_1.14.18.- TYROSINASE RELATED 1 TRP 1 TRP1,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011956,Pachon-Control,-0.818939896,0.000187234,ogfrl1,opioid growth factor receptor like 1 [Source:NCBI gene;Acc:103033513],OPIOID GROWTH FACTOR RECEPTOR OGFR ZETA TYPE OPIOID RECEPTOR,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000009986,Pachon-Control,-0.811013583,1.06E-07,aif1l,allograft inflammatory factor 1 like [Source:NCBI gene;Acc:103026376],ALLOGRAFT INFLAMMATORY FACTOR 1 IONIZED CALCIUM BINDING ADAPTER MOLECULE,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000003545,Pachon-Control,-0.777310118,7.21E-05,si:dkey-184p18.2,chromosome 23 C18orf21 homolog [Source:NCBI gene;Acc:103027551],UNKNOWN,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000024795,Pachon-Control,-0.77302479,0.000316482,dhrs3a,short-chain dehydrogenase/reductase 3 [Source:NCBI gene;Acc:103044922],SHORT CHAIN DEHYDROGENASE/REDUCTASE 3 EC_1.1.1.300 RETINAL SHORT CHAIN DEHYDROGENASE/REDUCTASE 1 RETSDR1,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000009841,Pachon-Control,-0.760964315,0.00033544,sinhcafl,"SIN3-HDAC complex associated factor, like [Source:ZFIN;Acc:ZDB-GENE-031114-2]",SIN3 HDAC COMPLEX ASSOCIATED FACTOR FAM60A TERA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016092,Pachon-Control,-0.733100047,0.000156989,,histone-lysine N-methyltransferase SETDB2-like [Source:NCBI gene;Acc:103045481],HISTONE LYSINE N METHYLTRANSFERASE SETDB2 EC_2.1.1.43 CHRONIC LYMPHOCYTIC LEUKEMIA DELETION REGION GENE 8 SET DOMAIN BIFURCATED 2,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000003142,Pachon-Control,-0.727696923,0.000135834,hmgb1a,high mobility group-T protein-like [Source:NCBI gene;Acc:103039534],HIGH MOBILITY GROUP B1 HIGH MOBILITY GROUP 1 HMG 1,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016267,Pachon-Control,-0.718112713,0.000269054,calua,calumenin [Source:NCBI gene;Acc:103043492],PRECURSOR,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000020398,Pachon-Control,-0.705174329,0.000354271,pycr1b,"pyrroline-5-carboxylate reductase 1, mitochondrial [Source:NCBI gene;Acc:103031810]",PYRROLINE 5 CARBOXYLATE REDUCTASE P5C REDUCTASE P5CR EC_1.5.1.2,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000024528,Pachon-Control,-0.674301274,8.37E-06,nfkbie,NFKB inhibitor epsilon [Source:NCBI gene;Acc:103021553],NF KAPPA B INHIBITOR EPSILON NF KAPPA BIE I KAPPA B EPSILON IKB E IKB EPSILON IKAPPABEPSILON,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000015885,Pachon-Control,0.514224709,0.000155142,,carbonic anhydrase 4-like [Source:NCBI gene;Acc:103038820],CARBONIC ANHYDRASE 4 PRECURSOR EC_4.2.1.1 CARBONATE DEHYDRATASE IV CARBONIC ANHYDRASE IV CA IV,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000014200,Pachon-Control,0.650003711,0.000369863,mthfr,methylenetetrahydrofolate reductase [Source:NCBI gene;Acc:103033176],METHYLENETETRAHYDROFOLATE REDUCTASE EC_1.5.1.20,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000008393,Pachon-Control,0.664357458,7.81E-05,foxi3b,forkhead box protein I1-ema-like [Source:NCBI gene;Acc:103035522],FORKHEAD BOX,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000012339,Pachon-Control,0.791387556,9.39E-06,,,ADENYLOSUCCINATE SYNTHETASE AMPSASE ADSS EC_6.3.4.4 IMP ASPARTATE LIGASE,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000000179,Pachon-Control,0.80493324,0.000426603,cacna1sb,"calcium channel, voltage-dependent, L type, alpha 1S subunit, b [Source:ZFIN;Acc:ZDB-GENE-051227-1]",VOLTAGE DEPENDENT L TYPE CALCIUM CHANNEL SUBUNIT ALPHA 1S CALCIUM CHANNEL L TYPE ALPHA 1 POLYPEPTIDE 3 SKELETAL MUSCLE VOLTAGE GATED CALCIUM CHANNEL SUBUNIT ALPHA CAV1 1,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000007356,Pachon-Control,0.811259441,0.000138977,plvapa,plasmalemma vesicle-associated protein-like [Source:NCBI gene;Acc:103025684],PLASMALEMMA VESICLE ASSOCIATED PLASMALEMMA VESICLE 1 PV 1,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000015770,Pachon-Control,0.816763194,0.000251243,sh2d3cb,SH2 domain-containing protein 3C [Source:NCBI gene;Acc:103038886],BREAST CANCER ANTI ESTROGEN RESISTANCE 3,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000002286,Pachon-Control,0.841962167,0.000239421,entpd8,ectonucleoside triphosphate diphosphohydrolase 8-like [Source:NCBI gene;Acc:103047612],ECTONUCLEOSIDE TRIPHOSPHATE DIPHOSPHOHYDROLASE NTPDASE,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000003250,Pachon-Control,0.851068892,0.000139776,adamts8a,A disintegrin and metalloproteinase with thrombospondin motifs 8 [Source:NCBI gene;Acc:103028617],A DISINTEGRIN AND METALLOPROTEINASE WITH THROMBOSPONDIN MOTIFS 8 PRECURSOR ADAM TS 8 ADAM TS8 ADAMTS 8 EC_3.4.24.- METH 2,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000008564,Pachon-Control,0.865818565,0.000170165,hif1al,hypoxia-inducible factor 1-alpha-like [Source:NCBI gene;Acc:103027586],HYPOXIA INDUCIBLE FACTOR ALPHA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000015359,Pachon-Control,0.876413317,2.54E-06,itpkb,inositol-trisphosphate 3-kinase B [Source:NCBI gene;Acc:103036228],INOSITOL TRISPHOSPHATE 3 KINASE B EC_2.7.1.127 INOSITOL 1 4 5 TRISPHOSPHATE 3 KINASE B IP3 3 KINASE B IP3K B INSP 3 KINASE B,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011256,Pachon-Control,0.916268533,1.06E-05,etnppl,ethanolamine-phosphate phospho-lyase [Source:ZFIN;Acc:ZDB-GENE-040426-1133],ETHANOLAMINE PHOSPHATE PHOSPHO LYASE EC_4.2.3.2 ALANINE GLYOXYLATE AMINOTRANSFERASE 2  1,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
